n,B,G,base_p,rate_mode,utility_mode,V_laminar,V_opt_en_arbol_practico,V_greedy_laminar,V_rollout_laminar,costo_arbol,costo_miopia,producto
4,2,2,0.05,homogeneous,flat,3.61,3.61,3.61,3.61,1.0,1.0,1.0
4,2,2,0.05,homogeneous,log_uniform,3.61,3.61,3.61,3.61,1.0,1.0,1.0
4,2,2,0.05,homogeneous,log_uniform,3.687682728013878,3.6876827280138786,3.687682728013878,3.687682728013878,1.0000000000000002,0.9999999999999999,1.0
4,2,2,0.05,homogeneous,log_uniform,3.655636543615101,3.655636543615101,3.655636543615101,3.655636543615101,1.0,1.0,1.0
4,2,2,0.05,beta_bimodal,flat,3.6012064544110243,3.6012064544110243,3.6012064544110243,3.6012064544110243,1.0,1.0,1.0
4,2,2,0.05,beta_bimodal,flat,3.608692772243055,3.608692772243055,3.608692772243055,3.608692772243055,1.0,1.0,1.0
4,2,2,0.05,beta_bimodal,flat,3.61043462893934,3.61043462893934,3.6104346289393394,3.61043462893934,1.0,0.9999999999999999,0.9999999999999999
4,2,2,0.05,beta_bimodal,log_uniform,3.671177037950053,3.6711770379500526,3.671177037950053,3.671177037950053,0.9999999999999999,1.0000000000000002,1.0
4,2,2,0.05,beta_bimodal,log_uniform,3.803120627032712,3.8031206270327123,3.803120627032712,3.803120627032712,1.0000000000000002,0.9999999999999999,1.0
4,2,2,0.05,beta_bimodal,log_uniform,3.559111027599617,3.463412144591248,3.463412144591248,3.463412144591248,0.9731115769454061,1.0,0.9731115769454061
4,2,3,0.05,homogeneous,flat,3.61,3.522125,3.522125,3.522125,0.9756578947368422,1.0,0.9756578947368422
4,2,3,0.05,homogeneous,log_uniform,3.6644913470278464,3.651620425745465,3.651620425745465,3.651620425745465,0.9964876649817114,1.0,0.9964876649817114
4,2,3,0.05,homogeneous,log_uniform,3.609999999999999,3.5425145166444367,3.5425145166444367,3.5425145166444367,0.9813059602893179,1.0,0.9813059602893179
4,2,3,0.05,homogeneous,log_uniform,3.61,3.5617857296506785,3.5617857296506785,3.5617857296506785,0.9866442464406312,1.0,0.9866442464406312
4,2,3,0.05,beta_bimodal,flat,3.723530774360685,3.705359926660028,3.705359926660028,3.705359926660028,0.9951199952943112,1.0,0.9951199952943112
4,2,3,0.05,beta_bimodal,flat,3.7708454502111386,3.747441384439792,3.747441384439792,3.747441384439792,0.9937934168662266,1.0,0.9937934168662266
4,2,3,0.05,beta_bimodal,flat,3.720382448302844,3.6600991052186096,3.6600991052186096,3.6600991052186096,0.9837964661101618,1.0,0.9837964661101618
4,2,3,0.05,beta_bimodal,log_uniform,3.6799160015692665,3.498847078891464,3.498847078891464,3.498847078891464,0.9507953652744826,1.0,0.9507953652744826
4,2,3,0.05,beta_bimodal,log_uniform,3.91390072825988,3.8953814249215046,3.8953814249215046,3.8953814249215046,0.9952683257383973,1.0,0.9952683257383973
4,2,3,0.05,beta_bimodal,log_uniform,3.7371791420228897,3.632818670959066,3.632818670959066,3.632818670959066,0.9720750686285446,1.0,0.9720750686285446
4,3,2,0.05,homogeneous,flat,3.743475,3.743475,3.7004875,3.705,1.0,0.9885166856997842,0.9885166856997842
4,3,2,0.05,homogeneous,log_uniform,3.7750437875389418,3.7750437875389418,3.751305272953693,3.7545389648693104,1.0,0.9937117247053908,0.9937117247053908
4,3,2,0.05,homogeneous,log_uniform,3.7633607949254224,3.763360794925422,3.7146113779068863,3.7204592028312553,0.9999999999999999,0.9870463078947227,0.9870463078947226
4,3,2,0.05,homogeneous,log_uniform,3.7779910484087167,3.7779910484087167,3.752332595229263,3.765930094999533,1.0,0.9932084399219896,0.9932084399219896
