G,replicate,pool_count,candidates,cache_convolutions,cache_seconds,one_scratch_seconds,one_reuse_seconds,one_speedup,sweep_scratch_convolutions,sweep_reuse_convolutions,sweep_scratch_seconds,sweep_reuse_seconds,sweep_speedup,max_abs_error
4,0,3,10,15,5.891697946935892e-05,3.266701241955161e-05,3.895797999575734e-05,0.83851915379363,68,0,0.0002348329871892929,0.0001734169782139361,1.0107561956543798,0.0
4,1,2,14,15,1.7167010810226202e-05,2.483295975252986e-05,1.8666964024305344e-05,1.3303159378352085,100,0,0.0003344580181874335,0.00024683400988578796,1.266881534418564,0.0
4,2,2,14,15,1.654197694733739e-05,2.4124979972839355e-05,1.770904054865241e-05,1.3622974043432958,100,0,0.00035079196095466614,0.00022754102246835828,1.4371830967106207,0.0
4,3,2,14,15,1.6457983292639256e-05,2.3916014470160007e-05,1.7417012713849545e-05,1.3731410123587169,100,0,0.000334041949827224,0.0002447919687256217,1.2786297078587598,0.0
4,4,2,14,15,1.6000005416572094e-05,2.320896601304412e-05,1.7167010810226202e-05,1.3519514998626778,100,0,0.000337707984726876,0.0002405419945716858,1.3163847819941108,0.0
4,5,3,10,15,1.6459031030535698e-05,2.3250002413988113e-05,1.7291982658207417e-05,1.3445538821977017,68,0,0.00023345800582319498,0.0001663750153966248,1.2768847508727135,0.0
4,6,2,14,15,1.6375037375837564e-05,2.3457978386431932e-05,1.7250014934688807e-05,1.3598816276535077,100,0,0.00034308299655094743,0.0002357920166105032,1.360538544299809,0.0
4,7,2,14,15,1.6083999071270227e-05,2.3333996068686247e-05,1.712498487904668e-05,1.362570316615965,100,0,0.000343457970302552,0.00024037499679252505,1.3392315178718146,0.0
4,8,2,14,15,1.612497726455331e-05,2.31250305660069e-05,1.712498487904668e-05,1.3503679407216056,100,0,0.0003388329641893506,0.000240708002820611,1.3192735764581152,0.0
4,9,2,14,15,1.591601176187396e-05,2.274999860674143e-05,1.691700890660286e-05,1.3448002972831623,100,0,0.00034012499963864684,0.00023574999067932367,1.3514936317952515,0.0
4,10,2,14,15,1.6167003195732832e-05,2.337503246963024e-05,1.7874990589916706e-05,1.307694812595656,100,0,0.00034716696245595813,0.00024224998196586967,1.3434370896280496,0.0
4,11,2,14,15,1.6208039596676826e-05,2.3500004317611456e-05,1.7207989003509283e-05,1.3656450101646986,100,0,0.0003504999913275242,0.0002464589779265225,1.3343890475193265,0.0
6,0,3,56,63,7.191702025011182e-05,3.754202043637633e-05,2.3292028345167637e-05,1.611796958171104,1012,0,0.0021416249801404774,0.001504999992903322,1.3581088683023155,0.0
6,1,4,56,63,5.520897684618831e-05,3.887503407895565e-05,2.4250010028481483e-05,1.6030935258705943,1012,0,0.0022627090220339596,0.0013702500145882368,1.5873546946145523,0.0
6,2,4,56,63,5.7792000006884336e-05,3.512500552460551e-05,2.3083004634827375e-05,1.521682557374238,1012,0,0.0022993750171735883,0.001365666976198554,1.6153433682388996,0.0
6,3,4,56,63,5.716702435165644e-05,3.4917029552161694e-05,2.2666004952043295e-05,1.5405021584544387,1012,0,0.0022945840028114617,0.001386334013659507,1.5895963649412466,0.0
6,4,3,56,63,5.8165984228253365e-05,3.5416975151747465e-05,2.3042026441544294e-05,1.5370599127467104,1012,0,0.0022597499773837626,0.0013814999838359654,1.5696349205380138,0.0
6,5,3,56,63,5.804200191050768e-05,3.4917029552161694e-05,2.274999860674143e-05,1.5348145798046269,1012,0,0.0023349589901044965,0.0014094579964876175,1.5911134532560551,0.0
6,6,4,56,63,6.337498780339956e-05,3.4750031773000956e-05,2.362497616559267e-05,1.470902299728487,1012,0,0.0023821250069886446,0.001410874945577234,1.6158216819628024,0.0
6,7,4,56,63,5.641701864078641e-05,3.4584023524075747e-05,2.2792024537920952e-05,1.5173739158860364,1012,0,0.002293375029694289,0.0014513339847326279,1.5210568751492348,0.0
6,8,3,56,63,5.904200952500105e-05,3.4416967537254095e-05,2.2374966647475958e-05,1.5381907861362802,1012,0,0.002375041018240154,0.0013715419918298721,1.6601898357529563,0.0
6,9,3,56,63,6.516702705994248e-05,3.787502646446228e-05,2.404197584837675e-05,1.575370789128361,1012,0,0.00232008402235806,0.0014269169769249856,1.554928553728732,0.0
6,10,3,56,63,6.212497828528285e-05,3.4791999496519566e-05,3.062497125938535e-05,1.1360663558453852,1012,0,0.0023138750111684203,0.0014123329892754555,1.5693055089229617,0.0
6,11,3,56,63,5.620799493044615e-05,3.429199568927288e-05,2.2709020413458347e-05,1.5100605426797697,1012,0,0.0022629169980064034,0.0013915000017732382,1.5631031970251494,0.0
8,0,3,246,255,0.00021875003585591912,5.6791992392390966e-05,3.6582991015166044e-05,1.5524152294941376,11076,0,0.020631207968108356,0.011446541990153491,1.76859764179998,0.0
8,1,4,246,255,0.0002364169922657311,6.379198748618364e-05,4.22910088673234e-05,1.5084054316678457,11076,0,0.020683750044554472,0.011584750027395785,1.749721496206956,0.0
8,2,4,246,255,0.0002459999523125589,6.762502016499639e-05,4.412501584738493e-05,1.532577810258264,11076,0,0.020703541988041252,0.011791333032306284,1.7199442778974368,0.0
8,3,4,246,255,0.00022808299399912357,6.18330086581409e-05,4.004203947260976e-05,1.5442022802169448,11076,0,0.020301625016145408,0.01188720902428031,1.6757024911586544,0.0
