agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 1, 0.3437068981949025), (1, 3, 0.4091501414425983), (2, 3, 0.17401490265409092), (3, 2, 0.7663917442468258), (4, 2, 0.6716108950562145), (5, 3, 0.15320982976789532), (6, 1, 0.22943421077295034), (7, 1, 0.7961544484047437), (8, 2, 0.8713722341943098), (9, 2, 0.760123254301996), (10, 3, 0.8227684767572939), (11, 2, 0.8828683273279139), (12, 2, 0.12149445563377947), (13, 1, 0.25161826210155525), (14, 1, 0.9856838120513288), (15, 1, 0.014167288796954725), (16, 2, 0.0011700484851252524), (17, 1, 0.7087339979059937), (18, 3, 0.8592513042958109), (19, 1, 0.08696358631477452), (20, 1, 0.8318634819182873), (21, 3, 0.899731397405695), (22, 2, 0.1460034718578771), (23, 3, 0.3321191786361436), (24, 3, 0.3489101778718332), (25, 1, 0.6380725176579073), (26, 1, 0.35838712332671174), (27, 2, 0.41586835429684355), (28, 2, 0.000953650439922904), (29, 2, 0.3765191997966072), (30, 1, 0.09226871415519489), (31, 1, 0.10338375202450756), (32, 2, 0.1926383970244805), (33, 3, 0.4212013394949403), (34, 2, 0.93501503514261), (35, 1, 0.5446861016725499), (36, 3, 0.5016404871522343), (37, 2, 0.7754640417449249), (38, 2, 0.028770110258293347), (39, 3, 0.08474381901408701), (40, 2, 0.6079871003909373), (41, 1, 0.41199154836671814), (42, 1, 0.6820429138710434), (43, 2, 0.3713268841248568), (44, 1, 0.4741016314459333), (45, 2, 0.03479500776750677), (46, 1, 0.3759521409539558), (47, 3, 0.7746567074687595), (48, 1, 0.2775791899304937), (49, 2, 0.22965285209527653)]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]",29,16,21,19,9,26
"[(0, 1, 0.3354691563763258), (1, 2, 0.47945329725606645), (2, 1, 0.18908935397617188), (3, 2, 0.7265399830319291), (4, 3, 0.5673471666193337), (5, 2, 0.9820498677824919), (6, 2, 0.7132714407386677), (7, 2, 0.7411205504908428), (8, 2, 0.4601403258317134), (9, 1, 0.8046578130155793), (10, 1, 0.2512693794093137), (11, 3, 0.47592506880869), (12, 1, 0.5321820148722157), (13, 2, 0.9956701185666744), (14, 2, 0.700206699212193), (15, 1, 0.9203060255769048), (16, 2, 0.7488531982564964), (17, 2, 0.8097983655025309), (18, 3, 0.04258998194611474), (19, 3, 0.7072126255949069), (20, 1, 0.9893522247914871), (21, 2, 0.0951061341360181), (22, 2, 0.29578332838481247), (23, 3, 0.7810370400107544), (24, 3, 0.6413340613964008), (25, 3, 0.7076497139442607), (26, 2, 0.10188932674227258), (27, 3, 0.2246862370545607), (28, 1, 0.6743688413150521), (29, 3, 0.0762148770567207), (30, 2, 0.9265561591371665), (31, 1, 0.13661468047571512), (32, 3, 0.14895784327806993), (33, 3, 0.8265099071405627), (34, 3, 0.2586194733736096), (35, 3, 0.32132711545129955), (36, 2, 0.9348073611828687), (37, 1, 0.49589994406168936), (38, 1, 0.9574993001437844), (39, 3, 0.8241090904332465), (40, 1, 0.22118107260724829), (41, 3, 0.7739447712367571), (42, 3, 0.6216948660123885), (43, 3, 0.2187201703167767), (44, 3, 0.5128750039355503), (45, 2, 0.5259074568898822), (46, 3, 0.8055396283804053), (47, 2, 0.3102717189893077), (48, 2, 0.13805111926488367), (49, 3, 0.020364934156318237)]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",18,24,11,0,21,17
"[(0, 2, 0.22088562723280802), (1, 2, 0.6668019817794753), (2, 3, 0.5552686441966809), (3, 2, 0.293106110584028), (4, 1, 0.9815642258980304), (5, 1, 0.2008559490238253), (6, 2, 0.5660215695877077), (7, 2, 0.626574322979003), (8, 2, 0.8791268213640334), (9, 3, 0.28069280107125305), (10, 2, 0.7056978610418513), (11, 1, 0.5626978357084883), (12, 1, 0.4827191198182347), (13, 2, 0.6176287897161457), (14, 3, 0.34415170004839046), (15, 3, 0.5166527483404182), (16, 3, 0.5339591746353184), (17, 2, 0.15008368154661444), (18, 1, 0.6812958882028691), (19, 2, 0.5616108907078509), (20, 2, 0.49235374968039836), (21, 2, 0.13045328244956156), (22, 1, 0.3852323919656463), (23, 3, 0.08434100181124715), (24, 3, 0.23282315501323114), (25, 1, 0.27869541516332874), (26, 1, 0.27374970683494926), (27, 1, 0.9396206141112038), (28, 3, 0.508002543463717), (29, 3, 0.7909998144128225), (30, 3, 0.2714071449425389), (31, 1, 0.5306746867017887), (32, 3, 0.11719650789597191), (33, 2, 0.19160199858755733), (34, 3, 0.1897763999294021), (35, 3, 0.22620258710105856), (36, 3, 0.4946866704227033), (37, 2, 0.4935645211739902), (38, 3, 0.39782465244705945), (39, 2, 0.2337580682126552), (40, 1, 0.367576477842833), (41, 2, 0.43606466016166), (42, 1, 0.35965285399157165), (43, 2, 0.6424633246122164), (44, 3, 0.07322907979372617), (45, 1, 0.8938745296456865), (46, 3, 0.7361467702617979), (47, 2, 0.8343712694266598), (48, 3, 0.04639555385082428), (49, 3, 0.2310190285227126)]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",14,15,0,9,16,13
"[(0, 2, 0.15465752848341874), (1, 3, 0.36188518851018336), (2, 1, 0.42270509159928793), (3, 1, 0.17011206283644675), (4, 1, 0.796941127387404), (5, 1, 0.10418638980328065), (6, 1, 0.05415617711190557), (7, 3, 0.8537656925306544), (8, 1, 0.13676013760614758), (9, 1, 0.34564276258362014), (10, 3, 0.6274623361005737), (11, 3, 0.8684521272398071), (12, 3, 0.929563509157489), (13, 3, 0.8763494315361228), (14, 1, 0.4272296577917043), (15, 2, 0.7975874883116668), (16, 3, 0.037962786008769456), (17, 3, 0.315140334831835), (18, 3, 0.9897511381884652), (19, 1, 0.1123150314500162), (20, 2, 0.6694958316909284), (21, 3, 0.7653600570068978), (22, 2, 0.5790678274005877), (23, 1, 0.4720562775174908), (24, 2, 0.8106248764543563), (25, 2, 0.8826015024407401), (26, 3, 0.36474498692117696), (27, 2, 0.6571664613017334), (28, 3, 0.8803152311515523), (29, 1, 0.9344359866295703), (30, 1, 0.06063498074648155), (31, 1, 0.41869125947604924), (32, 1, 0.9755579476287882), (33, 1, 0.44682934766906623), (34, 2, 0.6139693697921346), (35, 2, 0.2386301073065369), (36, 3, 0.3448779782763074), (37, 2, 0.5019988477394829), (38, 2, 0.7646290342928082), (39, 2, 0.40758146345126633), (40, 3, 0.9788732196326003), (41, 2, 0.8877516813285677), (42, 3, 0.596432494509207), (43, 1, 0.21584083000624965), (44, 1, 0.21244687000713813), (45, 2, 0.9070716515207805), (46, 2, 0.006449234898630807), (47, 1, 0.8065041941924328), (48, 2, 0.04792035151476082), (49, 1, 0.10353604036794639)]","[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",23,21,12,6,32,18
"[(0, 3, 0.39750683318334545), (1, 3, 0.9851784641412782), (2, 2, 0.6322244540860764), (3, 2, 0.7314523593059943), (4, 2, 0.6506699171991103), (5, 2, 0.6100060138740664), (6, 2, 0.7559392981912599), (7, 2, 0.4845426745246054), (8, 2, 0.928860982915626), (9, 1, 0.971060205388213), (10, 2, 0.5973784873230561), (11, 2, 0.9188675602533342), (12, 1, 0.6347262044738476), (13, 2, 0.32165285552016754), (14, 3, 0.12810101949915598), (15, 1, 0.37663979904386247), (16, 3, 0.36262186550790954), (17, 3, 0.08601876520570173), (18, 3, 0.19473900853276305), (19, 2, 0.8505002876517032), (20, 2, 0.6546351934601612), (21, 3, 0.8737453771417424), (22, 1, 0.31488725324825084), (23, 3, 0.8460022005811437), (24, 2, 0.6734424344650126), (25, 1, 0.06668805837459635), (26, 2, 0.3702622088507568), (27, 2, 0.7999930042753884), (28, 3, 0.8301954281974856), (29, 2, 0.02554859087830641), (30, 1, 0.08493412776432208), (31, 2, 0.63432592086503), (32, 1, 0.06101218507754802), (33, 3, 0.7747193270730369), (34, 3, 0.4671372436792641), (35, 1, 0.17605945274617452), (36, 3, 0.7647717589458789), (37, 2, 0.7844151690885716), (38, 1, 0.8746022982451066), (39, 3, 0.27270814299463353), (40, 1, 0.7777604664301491), (41, 1, 0.5941715911082297), (42, 2, 0.38364000944001875), (43, 1, 0.9441911018966838), (44, 3, 0.3170630528499939), (45, 2, 0.5090375882206051), (46, 2, 0.11407977422280713), (47, 1, 0.6557306169510806), (48, 1, 0.37563019332892966), (49, 2, 0.8781372786437739)]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",13,28,23,10,24,11
"[(0, 3, 0.34955298730423745), (1, 2, 0.9139472290334169), (2, 2, 0.10114483683897568), (3, 2, 0.7667319653908339), (4, 1, 0.598006529652777), (5, 2, 0.9895768319879696), (6, 1, 0.42554087135892626), (7, 3, 0.6942115084234128), (8, 1, 0.6618194381695762), (9, 3, 0.979917826747256), (10, 3, 0.37790837596146964), (11, 1, 0.6576957804789892), (12, 3, 0.3098988186998388), (13, 3, 0.7443757348226855), (14, 1, 0.3940384752297116), (15, 3, 0.031183672091301573), (16, 3, 0.42628594825234234), (17, 1, 0.146038280781718), (18, 1, 0.7779201552737255), (19, 3, 0.962465624956157), (20, 1, 0.001845763430366465), (21, 1, 0.9588560896151236), (22, 2, 0.1483049880224222), (23, 2, 0.6380925511695652), (24, 3, 0.1090707054047304), (25, 3, 0.7911401440155543), (26, 1, 0.12280379940532105), (27, 3, 0.9425772540644474), (28, 2, 0.24508518047511996), (29, 1, 0.3503009365272868), (30, 1, 0.9210968683363224), (31, 3, 0.035489281314371124), (32, 2, 0.6353376988736689), (33, 1, 0.9188311006596205), (34, 1, 0.5152659147520219), (35, 3, 0.08288322153968508), (36, 3, 0.9907769264799818), (37, 1, 0.6661056739347315), (38, 1, 0.7413870739805284), (39, 3, 0.029153108448830234), (40, 2, 0.9946540570565393), (41, 3, 0.42195517010575323), (42, 3, 0.20684700842304626), (43, 3, 0.4660544162993573), (44, 2, 0.13604154903461652), (45, 2, 0.6008879443574726), (46, 3, 0.4271201221882993), (47, 3, 0.6730788494082949), (48, 2, 0.9510185163820584), (49, 2, 0.9629326900826113)]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1]",39,27,27,27,29,39
"[(0, 2, 0.9817244449133109), (1, 2, 0.20574862762471702), (2, 1, 0.4184763671469647), (3, 3, 0.4514050824703847), (4, 1, 0.686779842949761), (5, 1, 0.7366789503458113), (6, 3, 0.8240612014966159), (7, 1, 0.8538232420489835), (8, 2, 0.2111801666250065), (9, 3, 0.4017905520143089), (10, 2, 0.6272094461600244), (11, 3, 0.5461126483439346), (12, 2, 0.056301251324689994), (13, 1, 0.8692360398733675), (14, 2, 0.3057776502602628), (15, 3, 0.019567956470724956), (16, 1, 0.09883069691533064), (17, 1, 0.0013544041340537438), (18, 2, 0.030047292631066203), (19, 2, 0.5534566105713697), (20, 2, 0.8737302992501866), (21, 3, 0.616511291449955), (22, 1, 0.7860079428114868), (23, 2, 0.35761182114582957), (24, 3, 0.3500030019102516), (25, 2, 0.7522708862643454), (26, 2, 0.8465924009491168), (27, 3, 0.8549372919740355), (28, 2, 0.06689550495710572), (29, 3, 0.03412798444468179), (30, 1, 0.2640030801569708), (31, 1, 0.1498441064067304), (32, 1, 0.43064140726382205), (33, 3, 0.45877190158544234), (34, 1, 0.35605935772613173), (35, 2, 0.07842107732299386), (36, 3, 0.5813871801330543), (37, 3, 0.46795216273436346), (38, 3, 0.9070807060463039), (39, 3, 0.8242377125982207), (40, 1, 0.12363056430800623), (41, 3, 0.7568529327788013), (42, 2, 0.3141291989387559), (43, 1, 0.2563826221312232), (44, 1, 0.6808041929263171), (45, 1, 0.810172816979036), (46, 2, 0.5763545913125755), (47, 3, 0.3402058825207994), (48, 3, 0.8194206317099453), (49, 1, 0.14432989892691683)]","[1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",8,10,27,19,22,8
"[(0, 2, 0.8300667827868874), (1, 2, 0.4976549689879297), (2, 2, 0.6623314007217683), (3, 3, 0.7116387993675064), (4, 1, 0.7539896749348464), (5, 2, 0.6886926274981156), (6, 2, 0.9684892466767954), (7, 3, 0.331916173142325), (8, 3, 0.603958910928257), (9, 1, 0.671665498934458), (10, 1, 0.3464252071044367), (11, 1, 0.10160881543983247), (12, 1, 0.03353969911723376), (13, 3, 0.7268053917536469), (14, 2, 0.03230952234993145), (15, 3, 0.5755323019528099), (16, 1, 0.28558926999162904), (17, 3, 0.3495626745045972), (18, 1, 0.9223693900236162), (19, 3, 0.32430981104370404), (20, 3, 0.43331570737921676), (21, 3, 0.0616940312903026), (22, 2, 0.23241211262296224), (23, 2, 0.8905754876883095), (24, 2, 0.2788875348084988), (25, 2, 0.8074386426551984), (26, 1, 0.6944217233749972), (27, 3, 0.4962558501988794), (28, 3, 0.9459311081823176), (29, 2, 0.7637136581526637), (30, 2, 0.04317501683341474), (31, 1, 0.3578828596688365), (32, 1, 0.5471446014450743), (33, 1, 0.9309677888708532), (34, 2, 0.010835574813435), (35, 3, 0.9303747804394241), (36, 2, 0.03019008261951206), (37, 2, 0.8977628247966112), (38, 3, 0.848449316260691), (39, 1, 0.18782474985675446), (40, 3, 0.09898355922237345), (41, 1, 0.7738357661139323), (42, 1, 0.2787626049021176), (43, 3, 0.88011242724369), (44, 2, 0.03408328040667441), (45, 1, 0.45329735071930854), (46, 3, 0.8311212001579605), (47, 2, 0.6919601982096414), (48, 3, 0.7687793541690601), (49, 2, 0.29010202658542183)]","[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]",13,19,13,23,0,0
"[(0, 3, 0.7643458532936522), (1, 2, 0.32798734325406786), (2, 2, 0.3806480187091973), (3, 3, 0.13191272482778493), (4, 1, 0.6222713197510553), (5, 3, 0.6720226138942097), (6, 3, 0.11731557489215194), (7, 3, 0.7309485875055669), (8, 2, 0.37474489678415923), (9, 2, 0.006423112310523282), (10, 3, 0.6042984676069193), (11, 1, 0.9032018545608033), (12, 3, 0.06481407755498136), (13, 1, 0.8857481553563505), (14, 2, 0.9461130383448241), (15, 2, 0.719078521047898), (16, 3, 0.6797233562990573), (17, 1, 0.59250033482386), (18, 2, 0.2570819451852503), (19, 1, 0.14445504671208165), (20, 3, 0.05428797097690552), (21, 1, 0.9123352916798162), (22, 1, 0.3269773601282908), (23, 1, 0.2155767465852334), (24, 3, 0.17771725116990778), (25, 3, 0.3458928236394935), (26, 3, 0.29785125085173747), (27, 1, 0.0808602862151343), (28, 1, 0.8591557711033028), (29, 1, 0.36067336981797005), (30, 1, 0.22887988433026019), (31, 2, 0.458757054035112), (32, 2, 0.9709079137319119), (33, 3, 0.8290653558875266), (34, 3, 0.08866265586942979), (35, 1, 0.9962615348177819), (36, 1, 0.9762031255165616), (37, 2, 0.45056293091670907), (38, 3, 0.6698392224913995), (39, 2, 0.7720276339801528), (40, 2, 0.5360143878740056), (41, 1, 0.6555947373923038), (42, 1, 0.05951979323926071), (43, 2, 0.3778646987159814), (44, 2, 0.6243683358673165), (45, 3, 0.4051494455666378), (46, 3, 0.07705188041435285), (47, 3, 0.6904686429990187), (48, 3, 0.9961333242054997), (49, 3, 0.1585718723118522)]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",18,20,24,0,22,9
"[(0, 3, 0.8749613014222177), (1, 3, 0.5879723542425305), (2, 1, 0.32159531242311923), (3, 3, 0.4701481103443468), (4, 3, 0.0012156809084914455), (5, 1, 0.0015771723301105656), (6, 3, 0.8538490539037893), (7, 2, 0.022719065783678105), (8, 3, 0.979887091731516), (9, 3, 0.21431726440638543), (10, 1, 0.6754564263849601), (11, 3, 0.7234831851446674), (12, 1, 0.16643044733224432), (13, 3, 0.5975341398743466), (14, 1, 0.35857401994847116), (15, 3, 0.2906617146959569), (16, 1, 0.6982947152213747), (17, 1, 0.9248482813840516), (18, 3, 0.4764651295956912), (19, 3, 0.4855861844902981), (20, 2, 0.8035957014004426), (21, 1, 0.5836425470112485), (22, 1, 0.8046442527023416), (23, 1, 0.23811838172139288), (24, 2, 0.2462703975823981), (25, 3, 0.732212168798509), (26, 3, 0.4786116889938504), (27, 2, 0.638588905030211), (28, 3, 0.4642394080443957), (29, 2, 0.20901445806506047), (30, 2, 0.6770791778152417), (31, 1, 0.00030385961662315886), (32, 1, 0.9861424956970077), (33, 1, 0.8860071681324836), (34, 1, 0.4944883149358851), (35, 2, 0.0706479310305973), (36, 3, 0.2621887314696598), (37, 1, 0.9938622277093135), (38, 2, 0.7591288208944776), (39, 1, 0.667317772581076), (40, 2, 0.8445247389603684), (41, 3, 0.62252217257298), (42, 3, 0.11205817567637844), (43, 3, 0.10353290621929279), (44, 2, 0.540939036527043), (45, 1, 0.44839080693482825), (46, 1, 0.43148045907200383), (47, 3, 0.49158577415303006), (48, 1, 0.9760556635832682), (49, 2, 0.3832676645685994)]","[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",17,0,14,6,0,22
