agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 3, 0.2853373499614307), (1, 2, 0.2673015757361914), (2, 2, 0.7025027792591465), (3, 2, 0.7630559638929777), (4, 2, 0.9638790877469581), (5, 3, 0.5372346866523322), (6, 3, 0.6244976160953692), (7, 2, 0.04829506887759227), (8, 1, 0.3296627857017347), (9, 3, 0.7584849248956795), (10, 3, 0.09260980295359322), (11, 1, 0.35897294504165944), (12, 3, 0.9037384363009641), (13, 2, 0.9469028274896537), (14, 3, 0.9285368507296804), (15, 3, 0.6882765193555505), (16, 1, 0.6006645384233307), (17, 2, 0.4150028169380874), (18, 1, 0.8968003957750988), (19, 3, 0.6574171597884069), (20, 2, 0.4137418836981116), (21, 2, 0.42368221928793115), (22, 1, 0.17574222534985606), (23, 1, 0.7344448813369633), (24, 2, 0.5692245378280604), (25, 3, 0.39821093008249286), (26, 2, 0.4202377624503387), (27, 2, 0.1460394262502972), (28, 2, 0.33222069599798765), (29, 2, 0.000157483289132343), (30, 3, 0.7303194461211424), (31, 3, 0.8571544128195471), (32, 3, 0.3780894140578992), (33, 3, 0.41472364685418917), (34, 2, 0.9692548188352389), (35, 3, 0.5048028060299401), (36, 1, 0.5619469634924084), (37, 3, 0.35710351636071), (38, 1, 0.9108623212906182), (39, 1, 0.4493052663871481), (40, 2, 0.7411477529302656), (41, 3, 0.13910202004345418), (42, 3, 0.4896571350173523), (43, 3, 0.5252578572841895), (44, 1, 0.6109496055957097), (45, 1, 0.5340443561246304), (46, 2, 0.1675822854248773), (47, 2, 0.5177096917817876), (48, 1, 0.3251496897355711), (49, 1, 0.7295641260295872)]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1]",8,8,8,8,8,8
"[(0, 1, 0.035248036653034664), (1, 3, 0.9655612300215722), (2, 2, 0.7219941939913416), (3, 1, 0.329386487344526), (4, 3, 0.9853511219105471), (5, 2, 0.1201105979487116), (6, 1, 0.05094140719562856), (7, 3, 0.05591650216223076), (8, 2, 0.8564939440180241), (9, 1, 0.9158489111947763), (10, 1, 0.5106297641146211), (11, 2, 0.9799750156014526), (12, 1, 0.23269609029075755), (13, 3, 0.6433216814485372), (14, 2, 0.7056226512012221), (15, 1, 0.023543677850180744), (16, 1, 0.4855780759037581), (17, 2, 0.17842290903884683), (18, 3, 0.021320307814054695), (19, 3, 0.7131440749872454), (20, 2, 0.28925818402732373), (21, 2, 0.7801867363425472), (22, 2, 0.8350409938661063), (23, 1, 0.7779671018481157), (24, 1, 0.5359082379507363), (25, 1, 0.7720732739625423), (26, 2, 0.25897373397945156), (27, 2, 0.2816615415430387), (28, 3, 0.22509548136320412), (29, 1, 0.05597089868484384), (30, 3, 0.03405868207582252), (31, 1, 0.6954213009829872), (32, 3, 0.9561289563817057), (33, 2, 0.2724596669055098), (34, 3, 0.04302846375647962), (35, 1, 0.08699407274715665), (36, 3, 0.2191991135796817), (37, 3, 0.7509403773972505), (38, 1, 0.0034621121551419165), (39, 2, 0.3967584305011672), (40, 2, 0.2598108049347069), (41, 3, 0.3728683496377857), (42, 1, 0.7599482562605957), (43, 1, 0.010086423199220595), (44, 2, 0.7801466539356544), (45, 3, 0.7855794098850953), (46, 3, 0.24915846511942763), (47, 2, 0.20253572553445143), (48, 2, 0.6728149404582565), (49, 2, 0.9431342130248513)]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",9,9,9,9,9,9
"[(0, 2, 0.4248734431549388), (1, 1, 0.27905849837960306), (2, 3, 0.2251546145050387), (3, 3, 0.09569512881831155), (4, 1, 0.9655668641390984), (5, 3, 0.7630107218396176), (6, 3, 0.8406682952364968), (7, 3, 0.865121216781337), (8, 3, 0.5806471794933419), (9, 1, 0.03077376412614663), (10, 3, 0.0391413372451247), (11, 2, 0.9260997437479864), (12, 3, 0.30439118261543785), (13, 1, 0.1614325131658363), (14, 3, 0.32113539880070063), (15, 3, 0.00048587629881435834), (16, 1, 0.9252200909112467), (17, 1, 0.908317773675769), (18, 2, 0.9735501021011614), (19, 3, 0.8455664637463779), (20, 2, 0.019842336132086635), (21, 1, 0.6921216012397513), (22, 3, 0.44012430483699916), (23, 2, 0.1513026893389885), (24, 1, 0.6087374312577108), (25, 3, 0.058795919359538984), (26, 2, 0.9444512242611993), (27, 3, 0.3304840849990961), (28, 3, 0.3081248021049513), (29, 2, 0.3544217070050999), (30, 1, 0.5378298526050735), (31, 2, 0.3839933258404169), (32, 3, 0.01193114432916742), (33, 2, 0.07200564919908659), (34, 2, 0.5718616486388649), (35, 3, 0.7150995353686367), (36, 2, 0.7280685786147642), (37, 3, 0.33221027827712735), (38, 2, 0.5793564266511153), (39, 1, 0.3451172900704197), (40, 3, 0.7898959582368315), (41, 2, 0.8232760773832491), (42, 1, 0.08810212902757752), (43, 3, 0.745176224830911), (44, 2, 0.9161309714027713), (45, 3, 0.5624312694105941), (46, 2, 0.5614443068614822), (47, 1, 0.7809661796832214), (48, 1, 0.1726378814949655), (49, 3, 0.2969512145654233)]","[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",8,8,8,8,8,8
"[(0, 3, 0.5478110531779529), (1, 3, 0.9971291220092827), (2, 2, 0.49986162121832634), (3, 3, 0.376108171827661), (4, 2, 0.4611927458885846), (5, 3, 0.2255797483813773), (6, 3, 0.6730326312933667), (7, 1, 0.7956869852074658), (8, 2, 0.10902884429984849), (9, 1, 0.4735530416302215), (10, 3, 0.1990647964096094), (11, 2, 0.06806917192285156), (12, 1, 0.1895506700982289), (13, 3, 0.7307233691800668), (14, 2, 0.5096382091771481), (15, 1, 0.43767634149083234), (16, 3, 0.6847531730565044), (17, 2, 0.6497752230322608), (18, 3, 0.6222192339043541), (19, 3, 0.5393672998768465), (20, 3, 0.8557071913403215), (21, 1, 0.8185981428794654), (22, 1, 0.21164176761760334), (23, 3, 0.5681898043855749), (24, 2, 0.4227681752503285), (25, 1, 0.46829799229690416), (26, 2, 0.4888151336315927), (27, 3, 0.6808863539146375), (28, 3, 0.07397321016957448), (29, 1, 0.5802363879842339), (30, 2, 0.727176354591631), (31, 3, 0.9668185355601818), (32, 1, 0.4436062315884953), (33, 3, 0.17767819519453032), (34, 3, 0.5904355347495571), (35, 2, 0.9007653542082938), (36, 1, 0.39107527974668743), (37, 2, 0.6319541269650736), (38, 1, 0.567654445145814), (39, 1, 0.2475889043975219), (40, 2, 0.6226738172535785), (41, 1, 0.4515851479029296), (42, 3, 0.45500702809813987), (43, 2, 0.7095161266453658), (44, 3, 0.26865297773496366), (45, 2, 0.21187716566838632), (46, 3, 0.20590741269117308), (47, 3, 0.5998294192656166), (48, 2, 0.8261247875288072), (49, 1, 0.9444309152436972)]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]",9,9,9,9,9,9
"[(0, 1, 0.5843606612132913), (1, 2, 0.8337764607573438), (2, 3, 0.04484857860244096), (3, 1, 0.8020463775886575), (4, 2, 0.8739750190647304), (5, 1, 0.7329426255228647), (6, 3, 0.7687313941898217), (7, 1, 0.8096035531160096), (8, 3, 0.21451586903782927), (9, 3, 0.8220880494049014), (10, 2, 0.38326395403090363), (11, 3, 0.03881692392914493), (12, 2, 0.5783708484854349), (13, 3, 0.9549668096513323), (14, 3, 0.7403286185336466), (15, 1, 0.7468959205594699), (16, 2, 0.7234457112942676), (17, 2, 0.30829663929364926), (18, 2, 0.33072286582834587), (19, 3, 0.24703792043531092), (20, 2, 0.1668416737359113), (21, 1, 0.358128865485708), (22, 3, 0.2210667486173744), (23, 1, 0.7934872030174441), (24, 1, 0.9610076572241683), (25, 1, 0.9271934156189623), (26, 2, 0.8709187624145565), (27, 3, 0.33544967339777076), (28, 1, 0.8469194469913435), (29, 1, 0.4067341336529078), (30, 1, 0.8340640917565157), (31, 3, 0.1471413257876466), (32, 3, 0.7719306981866954), (33, 1, 0.4133576889177091), (34, 3, 0.49094642332671623), (35, 2, 0.11858112446598867), (36, 1, 0.8382712784229901), (37, 3, 0.45677591005690554), (38, 3, 0.8435309464889316), (39, 1, 0.6648322727855264), (40, 3, 0.11837496494091904), (41, 3, 0.856391040794921), (42, 3, 0.6039310830107155), (43, 2, 0.09094736786482738), (44, 1, 0.9017278127173756), (45, 2, 0.3157309243314246), (46, 3, 0.6688134916011252), (47, 1, 0.10992697512774185), (48, 2, 0.35077013578817773), (49, 1, 0.9547797619524224)]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",9,9,9,9,9,9
"[(0, 2, 0.7942028461713574), (1, 1, 0.9108495970521975), (2, 3, 0.11518890451108899), (3, 3, 0.15043034649466736), (4, 2, 0.5170093728015744), (5, 1, 0.04844350872655745), (6, 2, 0.8613773219712236), (7, 1, 0.14745211420993998), (8, 1, 0.01213694324544623), (9, 2, 0.8998147909434573), (10, 1, 0.7532660328972827), (11, 1, 0.10968368130428419), (12, 1, 0.051980095184083086), (13, 1, 0.08798046822573491), (14, 3, 0.9419600189031335), (15, 2, 0.5043380877390161), (16, 3, 0.7081747697445562), (17, 3, 0.8929989712444604), (18, 2, 0.1734722036763282), (19, 2, 0.7399445776812892), (20, 3, 0.022173815521949858), (21, 3, 0.4889365172154748), (22, 2, 0.09565588349615317), (23, 1, 0.7815884351172651), (24, 2, 0.8562634347500657), (25, 2, 0.9492567266976463), (26, 2, 0.8178637177990288), (27, 2, 0.5948275865781739), (28, 3, 0.15963302704381), (29, 1, 0.3969337957177672), (30, 2, 0.1599397522514996), (31, 3, 0.458390652057438), (32, 1, 0.6474645947374236), (33, 2, 0.7667311095198456), (34, 1, 0.9229549621130979), (35, 2, 0.2792989015153784), (36, 1, 0.7641345367118828), (37, 2, 0.6068991591483747), (38, 1, 0.8517531849233176), (39, 1, 0.8709596247744089), (40, 1, 0.5099605946472255), (41, 3, 0.9045109465133735), (42, 2, 0.9051645984226645), (43, 3, 0.4236259470389868), (44, 3, 0.747710854446967), (45, 1, 0.48150277975798184), (46, 2, 0.2582957229703776), (47, 1, 0.19737525892348395), (48, 2, 0.9761104292846804), (49, 2, 0.4655954176822543)]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",9,9,9,9,9,9
"[(0, 1, 0.14366418721884788), (1, 1, 0.4732827256698777), (2, 2, 0.5804906192895851), (3, 3, 0.12973411122054768), (4, 1, 0.9496121840802529), (5, 3, 0.8154136288889898), (6, 3, 0.4590832833339028), (7, 3, 0.12423004740680854), (8, 1, 0.11188740161644362), (9, 1, 0.1164963283614634), (10, 2, 0.762626991281145), (11, 3, 0.17308815676749845), (12, 2, 0.8598095635203202), (13, 2, 0.412817530059993), (14, 3, 0.6191632147737884), (15, 1, 0.3668054824056398), (16, 1, 0.8789364942636279), (17, 1, 0.8571062201076528), (18, 3, 0.5252743367234332), (19, 2, 0.3638184397156524), (20, 1, 0.5668474974143987), (21, 2, 0.4737326421023814), (22, 2, 0.16557083106968906), (23, 3, 0.28082976743728916), (24, 2, 0.9257792214417154), (25, 1, 0.2268965534132893), (26, 2, 0.5839842402590589), (27, 3, 0.49903504989460623), (28, 2, 0.8860610110356574), (29, 2, 0.19035107264217632), (30, 1, 0.6072593268549578), (31, 2, 0.9153335946881407), (32, 3, 0.35173326660583126), (33, 3, 0.06826617916364286), (34, 3, 0.9381165461549764), (35, 2, 0.41879750331173804), (36, 1, 0.13831588407085793), (37, 2, 0.031464084132031056), (38, 1, 0.9104242402999619), (39, 1, 0.20849699559237378), (40, 2, 0.8198904277056949), (41, 2, 0.6205717332798152), (42, 1, 0.5204225920846651), (43, 3, 0.23080049970356886), (44, 1, 0.40015640590169), (45, 2, 0.08785175184228278), (46, 3, 0.7427348342302001), (47, 2, 0.5464441325729867), (48, 2, 0.6262442696174494), (49, 1, 0.7055245026866614)]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",8,8,8,8,8,8
"[(0, 3, 0.6427413243149456), (1, 3, 0.14777992179583432), (2, 2, 0.41520482307925977), (3, 1, 0.6889973229320416), (4, 3, 0.3917824253073561), (5, 2, 0.048949466882944326), (6, 3, 0.1931500004465181), (7, 1, 0.5467808463141639), (8, 2, 0.961003033747988), (9, 3, 0.7313598365477694), (10, 1, 0.7759580078103382), (11, 1, 0.10642114255712365), (12, 1, 0.10634939195785986), (13, 2, 0.7854388701014366), (14, 2, 0.3294222347913812), (15, 3, 0.7103521325286389), (16, 2, 0.4195930724975031), (17, 3, 0.5770480956309166), (18, 1, 0.4901177147489336), (19, 3, 0.621551924811074), (20, 3, 0.1693641130570469), (21, 2, 0.5245515842633668), (22, 3, 0.21602696891186302), (23, 2, 0.8720003964174483), (24, 3, 0.42082086670359065), (25, 3, 0.1957341655907784), (26, 2, 0.8739326856349885), (27, 2, 0.7454252995822841), (28, 1, 0.6035823271800149), (29, 2, 0.49875763576497156), (30, 3, 0.16698832925794682), (31, 2, 0.6382372051403691), (32, 3, 0.21626339960587138), (33, 3, 0.6022077170231565), (34, 3, 0.7674296213465059), (35, 1, 0.7773488854046946), (36, 3, 0.5403019934516633), (37, 3, 0.7388488481466557), (38, 3, 0.9465039535595444), (39, 2, 0.04468904476812119), (40, 2, 0.7570459617690469), (41, 2, 0.23732012461624796), (42, 2, 0.9259566157487114), (43, 3, 0.3148080965122577), (44, 1, 0.3494823574497621), (45, 2, 0.8997665629969126), (46, 2, 0.18030964659804438), (47, 2, 0.39569021365436885), (48, 2, 0.9059102266702472), (49, 1, 0.19402134334691057)]","[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,7,7,7,7,7
"[(0, 2, 0.487731389769986), (1, 2, 0.13201683251471952), (2, 2, 0.7887836299343045), (3, 2, 0.2595558549928284), (4, 3, 0.3667421172018658), (5, 2, 0.006802490716814713), (6, 2, 0.7882548282156627), (7, 2, 0.7317604629007644), (8, 2, 0.6704366780962523), (9, 2, 0.6855661088759869), (10, 2, 0.21824123857864164), (11, 2, 0.5875209884053003), (12, 3, 0.048151347672712896), (13, 3, 0.5692369605253668), (14, 1, 0.5340102202495324), (15, 1, 0.12569931560371828), (16, 1, 0.5905542042922519), (17, 2, 0.7785156442292068), (18, 2, 0.26023201429608167), (19, 3, 0.019107313292639483), (20, 2, 0.7744262155356343), (21, 1, 0.1753224341291887), (22, 2, 0.18737684049466652), (23, 3, 0.2027749426664397), (24, 2, 0.11306095962167062), (25, 2, 0.3994121762695857), (26, 1, 0.649683460919235), (27, 1, 0.9936513463959559), (28, 2, 0.16873823541736077), (29, 1, 0.8698729909418568), (30, 1, 0.2258351313741508), (31, 2, 0.43106156741689605), (32, 2, 0.8709422965378196), (33, 3, 0.34093227406468385), (34, 3, 0.9161341165007484), (35, 1, 0.3870307271618362), (36, 1, 0.7570470922036425), (37, 2, 0.10284102388070282), (38, 2, 0.7937941867235053), (39, 3, 0.37571805650498546), (40, 2, 0.7223018152600672), (41, 2, 0.4270330924609269), (42, 1, 0.5209490436287587), (43, 3, 0.7133962559233024), (44, 1, 0.8862305132106637), (45, 3, 0.22878121482329805), (46, 3, 0.9025950475345779), (47, 1, 0.5212806771404997), (48, 2, 0.8358634418021323), (49, 2, 0.5249828333588945)]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",8,8,8,8,8,8
"[(0, 1, 0.9755767088757833), (1, 2, 0.4329985766197747), (2, 1, 0.8861453018853516), (3, 1, 0.9262924994579382), (4, 2, 0.9778378176437957), (5, 2, 0.7542229933368141), (6, 2, 0.8076134385841123), (7, 2, 0.9312831491505668), (8, 1, 0.9847405822063054), (9, 1, 0.3789925739186607), (10, 1, 0.13526210978996944), (11, 1, 0.40503251084589986), (12, 2, 0.731668538795817), (13, 3, 0.18561800475701495), (14, 1, 0.162694679569504), (15, 1, 0.2494587430701407), (16, 2, 0.035803250163431666), (17, 2, 0.6239993781040416), (18, 2, 0.4498915228051251), (19, 2, 0.3369068180496907), (20, 1, 0.9692822848147702), (21, 3, 0.5258240198854983), (22, 1, 0.49423678913815006), (23, 2, 0.407879312884723), (24, 2, 0.47757789279872465), (25, 1, 0.5078419638092805), (26, 1, 0.8464991320807258), (27, 2, 0.43917148390910654), (28, 1, 0.14375955454317324), (29, 1, 0.4035983123802027), (30, 1, 0.5383090347934071), (31, 1, 0.1665026228974703), (32, 1, 0.7277282598258245), (33, 1, 0.18626608464385452), (34, 3, 0.10537778670333464), (35, 2, 0.9023564733190812), (36, 1, 0.7599582625860546), (37, 3, 0.8446916769391187), (38, 1, 0.1520939869582787), (39, 1, 0.2174961785895294), (40, 1, 0.3368920284588751), (41, 3, 0.2499028180881956), (42, 2, 0.09181992847893561), (43, 3, 0.42589050390459304), (44, 3, 0.10666043182506435), (45, 3, 0.3262156108380718), (46, 2, 0.12899837017998828), (47, 2, 0.6124462326555485), (48, 2, 0.3188927283649169), (49, 2, 0.5365275552382154)]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",7,7,7,7,7,7
