agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 1, 0.5285365836507933), (1, 2, 0.4690497535430044), (2, 2, 0.3137455705774278), (3, 2, 0.8328577174872727), (4, 2, 0.6940889221690205), (5, 2, 0.9012004786603572), (6, 3, 0.25560576254646394), (7, 3, 0.8113857177566186), (8, 3, 0.5878344740704077), (9, 2, 0.7881586836544999), (10, 2, 0.2753693743160617), (11, 3, 0.08538900214208944), (12, 3, 0.08343582604264088), (13, 1, 0.8861886331817235), (14, 2, 0.5296477633488725), (15, 1, 0.43230061269782805), (16, 1, 0.6352976112175954), (17, 2, 0.3809859810862003), (18, 2, 0.9270469796584204), (19, 2, 0.9802333701578408), (20, 2, 0.6536092427843506), (21, 3, 0.822385249094799), (22, 3, 0.5584066377406265), (23, 3, 0.3294680723234069), (24, 1, 0.9058504433539524), (25, 3, 0.4700548818980155), (26, 1, 0.019919992775101925), (27, 2, 0.7975166900785741), (28, 1, 0.28620332462505316), (29, 3, 0.7634976400364305), (30, 2, 0.6420045117492175), (31, 1, 0.2878057288097339), (32, 2, 0.052299314972931166), (33, 3, 0.41549057980450343), (34, 2, 0.5778654291699313), (35, 2, 0.4375172597226653), (36, 2, 0.8349125796025046), (37, 2, 0.36668688071728006), (38, 2, 0.4273651756286997), (39, 1, 0.00470922406481511), (40, 2, 0.12066306684334072), (41, 2, 0.8397454510093375), (42, 2, 0.08251056740939844), (43, 1, 0.8140585380210236), (44, 1, 0.06832237692787257), (45, 3, 0.5448373516302192), (46, 3, 0.862825023195481), (47, 2, 0.3590770883730635), (48, 2, 0.11597943144807366), (49, 3, 0.3868193590829597)]","[0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]",22,0,17,18,17,18
"[(0, 2, 0.2476162247944661), (1, 3, 0.39969230351187635), (2, 1, 0.2518831481856082), (3, 3, 0.050052296195031376), (4, 1, 0.5269807277532773), (5, 3, 0.6684562745149523), (6, 2, 0.21742954620532995), (7, 2, 0.5917759891438108), (8, 2, 0.8108754680883127), (9, 3, 0.08610049716949664), (10, 2, 0.8638862653953004), (11, 3, 0.8957462736156536), (12, 3, 0.6941083714707473), (13, 1, 0.8644819289776382), (14, 1, 0.5992465175920635), (15, 3, 0.10741209021163733), (16, 3, 0.0007187568076039152), (17, 3, 0.20761958784979917), (18, 2, 0.520064006172119), (19, 2, 0.5192809536440268), (20, 3, 0.35244703753953743), (21, 3, 0.4326393229907841), (22, 1, 0.8430328802765066), (23, 2, 0.9183100846007629), (24, 3, 0.6283324584878784), (25, 2, 0.36920790830491634), (26, 1, 0.7744480787608286), (27, 2, 0.19007740154079955), (28, 3, 0.4064239087563486), (29, 2, 0.6455336083930114), (30, 2, 0.4363485944256337), (31, 3, 0.4003813475294461), (32, 2, 0.7561655448464651), (33, 1, 0.8412491503559064), (34, 2, 0.3676758807286262), (35, 2, 0.6250928262935777), (36, 1, 0.4790410708134879), (37, 2, 0.39555104344254965), (38, 3, 0.21298432414347934), (39, 3, 0.8731599058884877), (40, 3, 0.060676501229809054), (41, 2, 0.10850997309243215), (42, 2, 0.9074019384602353), (43, 3, 0.1955220844980574), (44, 3, 0.6530759644594124), (45, 2, 0.7425229847547027), (46, 2, 0.9767137627089062), (47, 2, 0.0196251215345975), (48, 1, 0.4567566515433621), (49, 2, 0.23946746982275569)]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",16,18,19,6,20,7
"[(0, 1, 0.8603019280003014), (1, 1, 0.14537296559573853), (2, 1, 0.6523663504638348), (3, 1, 0.14731662567810677), (4, 2, 0.7656277122793592), (5, 2, 0.7353084897052148), (6, 2, 0.5686564520262531), (7, 2, 0.04968263963749442), (8, 1, 0.07288266316244851), (9, 2, 0.9172683315165624), (10, 1, 0.8739049550008743), (11, 2, 0.05481264888664994), (12, 3, 0.46015790244403154), (13, 1, 0.008424570480438431), (14, 3, 0.429682713083925), (15, 3, 0.6802943303765865), (16, 3, 0.3604625194951879), (17, 1, 0.8949749400030607), (18, 1, 0.9171833285779328), (19, 1, 0.5316829497529488), (20, 1, 0.2759194915199875), (21, 2, 0.054330313144660636), (22, 1, 0.9074562180405875), (23, 3, 0.008696450336024286), (24, 2, 0.5138576842594729), (25, 1, 0.3960875073508556), (26, 2, 0.05055266642177203), (27, 3, 0.6789159224464778), (28, 3, 0.8010812583446985), (29, 2, 0.23358088048246206), (30, 3, 0.26954362364273154), (31, 2, 0.38197095889747557), (32, 3, 0.96844727148383), (33, 1, 0.5952026758292154), (34, 2, 0.5295256198677623), (35, 2, 0.4126331860187493), (36, 2, 0.5075707541352231), (37, 2, 0.5311707269072469), (38, 3, 0.7714496998245304), (39, 2, 0.7226092985902209), (40, 2, 0.9842283174212029), (41, 1, 0.8123475309300476), (42, 1, 0.04104601984460987), (43, 1, 0.4787872074670315), (44, 3, 0.7291902319657152), (45, 3, 0.018964191698435662), (46, 3, 0.6766298178689145), (47, 2, 0.9109756499018002), (48, 3, 0.4313003063359918), (49, 1, 0.02093515084640618)]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",9,21,28,19,16,7
"[(0, 2, 0.6503641519763375), (1, 1, 0.07778369139962193), (2, 3, 0.5046462876443882), (3, 2, 0.4565212871063039), (4, 3, 0.17000609947231227), (5, 3, 0.7987131088285053), (6, 2, 0.6922108113995041), (7, 1, 0.9405105206340518), (8, 3, 0.3669034617580107), (9, 2, 0.7681096938775298), (10, 2, 0.1910264440139099), (11, 3, 0.25761293260392537), (12, 2, 0.1839586090120494), (13, 2, 0.49317167164854303), (14, 3, 0.7635305800591575), (15, 3, 0.9634794006910762), (16, 1, 0.7286334759534591), (17, 2, 0.10952695927752809), (18, 2, 0.8915874780394578), (19, 2, 0.17992995195191963), (20, 1, 0.6743330584373383), (21, 3, 0.07887426250766005), (22, 2, 0.6969239818829043), (23, 2, 0.23230780024040754), (24, 2, 0.12813661454886127), (25, 2, 0.5680188382349362), (26, 2, 0.6276858727823288), (27, 2, 0.710809231212981), (28, 3, 0.7779242600490645), (29, 2, 0.5465676011946518), (30, 1, 0.1179095863820524), (31, 1, 0.0853800477529969), (32, 2, 0.8930852650367449), (33, 3, 0.9641290860787982), (34, 3, 0.3601848468536162), (35, 2, 0.5104253863380681), (36, 1, 0.7927879286080998), (37, 2, 0.00575215776548077), (38, 1, 0.43120621458317465), (39, 3, 0.9500333190375254), (40, 3, 0.07862677761980286), (41, 3, 0.7264874906225534), (42, 2, 0.4304636352162259), (43, 2, 0.030813427811823724), (44, 2, 0.6381777338966991), (45, 1, 0.9525070751184542), (46, 1, 0.6420004300111498), (47, 1, 0.2801857929825692), (48, 1, 0.3697509711045299), (49, 1, 0.028212314685650663)]","[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",13,11,24,19,23,13
"[(0, 1, 0.15072579879544745), (1, 3, 0.6035832862115711), (2, 2, 0.06324966456011316), (3, 3, 0.20889423018170028), (4, 1, 0.5136196007643583), (5, 2, 0.3819953751258691), (6, 2, 0.47310849269557753), (7, 1, 0.8683036677146095), (8, 2, 0.4722610243330718), (9, 3, 0.5634393730043736), (10, 1, 0.46242284686688095), (11, 2, 0.13572426719910657), (12, 3, 0.9953060878321226), (13, 1, 0.33448000242117537), (14, 1, 0.9348921727958839), (15, 3, 0.08143729032879976), (16, 3, 0.3881253375454198), (17, 1, 0.14462490350930624), (18, 1, 0.15452544579273286), (19, 2, 0.6475491882295369), (20, 3, 0.4861619915585532), (21, 3, 0.6576447564800986), (22, 1, 0.21067462533297243), (23, 3, 0.40304731838965935), (24, 2, 0.03679676482123151), (25, 2, 0.4631925317383442), (26, 3, 0.1374131353408189), (27, 1, 0.3578701219711641), (28, 1, 0.5253097894656451), (29, 2, 0.44893314936988116), (30, 2, 0.16060741410431922), (31, 2, 0.9629294388069912), (32, 3, 0.5234022496319474), (33, 1, 0.8651415423999801), (34, 1, 0.8180255849114103), (35, 2, 0.37140775483002686), (36, 1, 0.11775862953665295), (37, 3, 0.18721591348887234), (38, 2, 0.14260069560196342), (39, 1, 0.28261758760803124), (40, 3, 0.3881432994010888), (41, 3, 0.09459321637192741), (42, 3, 0.8410896341451845), (43, 3, 0.5960135105198088), (44, 1, 0.3138481490463939), (45, 1, 0.8355364616434297), (46, 3, 0.9639775235666382), (47, 1, 0.5658930957361002), (48, 3, 0.5429181452119204), (49, 1, 0.5829407399401489)]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",8,15,15,0,15,11
"[(0, 2, 0.8098173203020594), (1, 2, 0.3031809006530396), (2, 2, 0.8621098844717384), (3, 3, 0.47735192622811307), (4, 1, 0.9713648016323938), (5, 2, 0.9749615510044584), (6, 2, 0.8627808592597334), (7, 1, 0.3913470097218924), (8, 3, 0.6201519489348079), (9, 1, 0.4880931513215173), (10, 1, 0.8077511005621355), (11, 2, 0.7583177524909007), (12, 3, 0.9204869134375618), (13, 3, 0.9932718787769541), (14, 2, 0.4218819658980526), (15, 3, 0.5938091705663022), (16, 1, 0.6678671691109964), (17, 1, 0.6869793027526703), (18, 1, 0.5712219919801063), (19, 3, 0.8002198054673793), (20, 1, 0.18487749476211057), (21, 2, 0.17789495888142093), (22, 3, 0.5047945399414202), (23, 2, 0.9806482219267648), (24, 1, 0.8687978929210604), (25, 1, 0.5279152993962268), (26, 2, 0.6010488947626141), (27, 3, 0.3820495265532702), (28, 3, 0.35680174005422427), (29, 2, 0.24137127165285943), (30, 2, 0.34539580141122594), (31, 2, 0.6316300530134501), (32, 2, 0.1691782966543257), (33, 2, 0.882795843460682), (34, 1, 0.43265142997516903), (35, 1, 0.022391083718514726), (36, 3, 0.5547667166579807), (37, 1, 0.3435888646490989), (38, 3, 0.6563090676342255), (39, 2, 0.39042680108572125), (40, 1, 0.8450646567258286), (41, 3, 0.5334391962240731), (42, 2, 0.07743777703185795), (43, 2, 0.7386592934346753), (44, 2, 0.260659831792153), (45, 2, 0.8739086858993632), (46, 3, 0.4201755772104171), (47, 1, 0.3956030596262391), (48, 3, 0.222518950455875), (49, 3, 0.9772574563542445)]","[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",30,16,23,11,19,29
"[(0, 1, 0.00933925274269276), (1, 2, 0.8218941444308614), (2, 1, 0.9528577606814741), (3, 2, 0.42444742590883844), (4, 3, 0.5749577749219055), (5, 2, 0.026553647182803064), (6, 1, 0.5553824047869705), (7, 1, 0.6154390234874727), (8, 2, 0.8339157107532247), (9, 3, 0.0473589435843923), (10, 1, 0.17592381872120744), (11, 1, 0.6252346916926574), (12, 1, 0.008317445517414424), (13, 1, 0.6477560685236449), (14, 1, 0.39958809775358983), (15, 2, 0.7860302057211959), (16, 2, 0.7986221251933073), (17, 2, 0.8251680704922371), (18, 2, 0.4508941591979114), (19, 2, 0.517407439494122), (20, 2, 0.2448635094463808), (21, 1, 0.1953859712106546), (22, 1, 0.28111880368224884), (23, 3, 0.6355227712914797), (24, 1, 0.36277806508620447), (25, 1, 0.014463560880670467), (26, 3, 0.8553909171058753), (27, 3, 0.3194643632849392), (28, 2, 0.7230914842396224), (29, 1, 0.3388919458985026), (30, 1, 0.20796657926102935), (31, 1, 0.10533123587623072), (32, 2, 0.26459025600150954), (33, 2, 0.043211677241259405), (34, 1, 0.9475278597147305), (35, 3, 0.49794975771217975), (36, 3, 0.5812896957999165), (37, 2, 0.24718876191735217), (38, 3, 0.16149579608024522), (39, 1, 0.11442467295683312), (40, 3, 0.6246966104175338), (41, 3, 0.6033397287034272), (42, 2, 0.5456887400174552), (43, 1, 0.003775847796564147), (44, 1, 0.6523853573958477), (45, 1, 0.18488317360281314), (46, 2, 0.9761798606737243), (47, 2, 0.44651585457447107), (48, 3, 0.4145624674615479), (49, 1, 0.24587164610647072)]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0]",16,17,0,0,6,14
"[(0, 1, 0.7776690581991982), (1, 2, 0.022974848742191245), (2, 3, 0.954290934929258), (3, 3, 0.9404546380429379), (4, 1, 0.6580236498770544), (5, 2, 0.9269580380479194), (6, 1, 0.8706203356900916), (7, 1, 0.5164051168179278), (8, 1, 0.988521046483947), (9, 3, 0.35300996606262847), (10, 2, 0.830731870714777), (11, 1, 0.7950167007035484), (12, 3, 0.7387038934827062), (13, 1, 0.25236564112981286), (14, 1, 0.36010548365836303), (15, 3, 0.9745756219778948), (16, 3, 0.2506082430826361), (17, 1, 0.061519799151247945), (18, 3, 0.6516255875502855), (19, 1, 0.3712556685412599), (20, 2, 0.12436852722781866), (21, 2, 0.5256178955557632), (22, 2, 0.0010942794967081504), (23, 1, 0.5472630068074464), (24, 1, 0.6950906077998521), (25, 2, 0.28350420805134946), (26, 1, 0.5997539406133947), (27, 1, 0.6649860380044625), (28, 1, 0.20616916894143966), (29, 3, 0.5395954740262617), (30, 2, 0.8491392366001276), (31, 1, 0.043287092098485025), (32, 3, 0.7402865481928825), (33, 2, 0.7584813507150268), (34, 1, 0.1942847770992494), (35, 2, 0.23959808649976233), (36, 3, 0.28685994330647846), (37, 1, 0.6125252219164349), (38, 2, 0.9921433781553982), (39, 2, 0.5449786149072494), (40, 3, 0.7831864756300125), (41, 2, 0.47417717326597353), (42, 1, 0.6223246902301156), (43, 1, 0.5793892430401448), (44, 2, 0.4914849642959216), (45, 2, 0.677410955290091), (46, 3, 0.9473241754619337), (47, 1, 0.09760573977010423), (48, 3, 0.8644039548413659), (49, 1, 0.5656536886560648)]","[0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",14,8,22,25,9,14
"[(0, 2, 0.32069290292315056), (1, 2, 0.24750328387261966), (2, 1, 0.15523473711186686), (3, 1, 0.6073885329320058), (4, 2, 0.7657471222662059), (5, 1, 0.42316586239033116), (6, 1, 0.7725598039064797), (7, 1, 0.04522491313826982), (8, 3, 0.5388070951320315), (9, 1, 0.12025886872060654), (10, 3, 0.31584059106697815), (11, 3, 0.6875733414489017), (12, 1, 0.2541280551287096), (13, 1, 0.5824616361286673), (14, 3, 0.9950498030242135), (15, 2, 0.44889878235152203), (16, 2, 0.10292632141579316), (17, 2, 0.8800824290016516), (18, 3, 0.029061886723454666), (19, 3, 0.5827706524753004), (20, 1, 0.6972496687385816), (21, 3, 0.33347116891156625), (22, 1, 0.3422656702579401), (23, 3, 0.8584635795415825), (24, 3, 0.7436827655919939), (25, 1, 0.3130282680991314), (26, 3, 0.86505338640788), (27, 1, 0.4370079991930791), (28, 3, 0.8458379339827117), (29, 1, 0.45507688567940074), (30, 1, 0.9377367532830786), (31, 3, 0.34086928937091865), (32, 3, 0.6309193725390082), (33, 2, 0.38945600050368834), (34, 2, 0.08051632891040028), (35, 2, 0.038957856655723044), (36, 1, 0.08043095075523288), (37, 1, 0.695691421005415), (38, 3, 0.8366235185733091), (39, 3, 0.8153611075062451), (40, 2, 0.726918760222699), (41, 2, 0.5321760661533776), (42, 1, 0.38264682089595026), (43, 3, 0.9248101591058507), (44, 2, 0.06012601684152363), (45, 3, 0.7941075056960104), (46, 1, 0.46411427085171786), (47, 3, 0.5990176759065248), (48, 2, 0.7976227374343083), (49, 1, 0.5035180884229793)]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",15,20,0,8,0,21
"[(0, 3, 0.8525363286966192), (1, 1, 0.8566390128160689), (2, 3, 0.6807193209136002), (3, 2, 0.5322415332594882), (4, 1, 0.14627432076898217), (5, 2, 0.2242023433813224), (6, 1, 0.28745634929734476), (7, 2, 0.9260896125494646), (8, 1, 0.872557338862607), (9, 2, 0.018036935195919535), (10, 3, 0.04057352743638076), (11, 1, 0.8441326377008488), (12, 1, 0.6780960644216918), (13, 2, 0.13186954360893666), (14, 1, 0.09254916592655416), (15, 2, 0.9240772401816024), (16, 2, 0.836978806885998), (17, 1, 0.058945943265335865), (18, 1, 0.8121214433439801), (19, 1, 0.22570251779851613), (20, 1, 0.2557688907084327), (21, 2, 0.14035574112222304), (22, 2, 0.083528542910418), (23, 1, 0.3473124015095056), (24, 3, 0.06727852968119463), (25, 2, 0.06578607083015142), (26, 3, 0.8508894527743546), (27, 2, 0.48502147431901743), (28, 3, 0.43252053593055084), (29, 3, 0.522454206271227), (30, 3, 0.04454410495140637), (31, 3, 0.8996159437528521), (32, 3, 0.5282302277926716), (33, 2, 0.719284413293185), (34, 1, 0.27329941335597874), (35, 3, 0.1630024960220915), (36, 3, 0.029446486914868952), (37, 2, 0.5259784955666064), (38, 2, 0.9243626344580076), (39, 2, 0.11889391855592069), (40, 1, 0.1525246871635052), (41, 1, 0.7400719118446698), (42, 1, 0.33288119602282007), (43, 1, 0.6840854591309126), (44, 3, 0.9738867577475293), (45, 1, 0.5189941294035422), (46, 3, 0.9011229006137204), (47, 3, 0.9681508927437177), (48, 3, 0.8507678306639596), (49, 3, 0.1788088399876172)]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",14,6,13,24,18,21
