agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 2, 0.3685544569368784), (1, 1, 0.6425317338947845), (2, 1, 0.3337134938279599), (3, 2, 0.6072169332718883), (4, 2, 0.7794133546738478), (5, 2, 0.2689787101825787), (6, 1, 0.1552711933345884), (7, 1, 0.18307147749379837), (8, 2, 0.35282191369966276), (9, 3, 0.7738243156274266), (10, 1, 0.5947043346078564), (11, 3, 0.8648933126014544), (12, 1, 0.5265615466224304), (13, 2, 0.293769177507632), (14, 1, 0.9832814947159381), (15, 2, 0.2132870022947888), (16, 1, 0.6237279520656217), (17, 3, 0.9822868329651154), (18, 1, 0.6130442981882365), (19, 3, 0.9846769849569584), (20, 2, 0.08767964175007148), (21, 2, 0.3764992886300921), (22, 3, 0.5472058508748996), (23, 3, 0.6482870493660884), (24, 2, 0.31984112201048087), (25, 1, 0.5977026186851062), (26, 2, 0.0906141562373809), (27, 3, 0.36440206338815717), (28, 1, 0.9227835084945887), (29, 3, 0.7777245433217939), (30, 1, 0.6457215232281484), (31, 1, 0.6602186951640515), (32, 3, 0.6847327269176863), (33, 2, 0.31521557020847035), (34, 2, 0.11405184312915795), (35, 3, 0.24861048651332285), (36, 3, 0.6961190141745418), (37, 1, 0.7763748753067915), (38, 3, 0.8014077969467455), (39, 1, 0.850442801193605), (40, 2, 0.8026730716227163), (41, 2, 0.396809823736464), (42, 2, 0.9812799172033428), (43, 3, 0.20819778408420075), (44, 2, 0.3490383299132924), (45, 3, 0.8290009450453042), (46, 1, 0.3973994879281665), (47, 3, 0.23520930667927675), (48, 2, 0.6329570326843161), (49, 2, 0.6814436637075388)]","[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",8,11,15,16,17,8.0
"[(0, 3, 0.42654427069750356), (1, 1, 0.4917527031647496), (2, 3, 0.5591262233601774), (3, 3, 0.20508905323483162), (4, 1, 0.8694364553873374), (5, 1, 0.845146392963917), (6, 2, 0.6934669948540366), (7, 2, 0.7902075184568533), (8, 2, 0.6808070905248932), (9, 1, 0.4762771801794625), (10, 3, 0.6534116762202422), (11, 3, 0.051689351132289785), (12, 3, 0.41998796103858826), (13, 2, 0.8984484674194408), (14, 2, 0.46774883712070847), (15, 2, 0.972542174287842), (16, 1, 0.8579070291151407), (17, 2, 0.2924763654634531), (18, 2, 0.09959587706500372), (19, 2, 0.6057934711533415), (20, 1, 0.39423523849062203), (21, 3, 0.05873741867375826), (22, 2, 0.9960050429783827), (23, 3, 0.743937787513601), (24, 3, 0.41167994165211563), (25, 2, 0.6469314662892917), (26, 2, 0.39365075524578463), (27, 2, 0.2980856675587672), (28, 3, 0.3964035754314228), (29, 2, 0.9172339903466837), (30, 1, 0.24855833377205183), (31, 1, 0.7860092250652883), (32, 1, 0.13932432535912698), (33, 3, 0.09821574294053448), (34, 3, 0.817575789871125), (35, 2, 0.6710565763358449), (36, 3, 0.07154738214999667), (37, 2, 0.3635396733452817), (38, 2, 0.8583966117886024), (39, 1, 0.6534880539850658), (40, 3, 0.7001150619023928), (41, 1, 0.5126772021296194), (42, 3, 0.32815248656149343), (43, 1, 0.8856349361143676), (44, 3, 0.7350715365656311), (45, 3, 0.9284636766376966), (46, 2, 0.2815447068369744), (47, 2, 0.1283268742190461), (48, 2, 0.20285953330637407), (49, 3, 0.05520235835247411)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]",14,12,6,12,12,14.0
"[(0, 1, 0.27057435584707945), (1, 3, 0.840606342847959), (2, 1, 0.1309936199142021), (3, 1, 0.022584434790216545), (4, 1, 0.08419760873631532), (5, 1, 0.5936314320803847), (6, 3, 0.8122424434514801), (7, 2, 0.45397330901691246), (8, 3, 0.9691223546238198), (9, 3, 0.16451354334404944), (10, 3, 0.1107635375146343), (11, 1, 0.8008301901865437), (12, 2, 0.4394117766146497), (13, 3, 0.7923118875302637), (14, 1, 0.03796557531623579), (15, 3, 0.07064616883522201), (16, 1, 0.2769868752286747), (17, 1, 0.32016656021193235), (18, 2, 0.37166773902108274), (19, 2, 0.23950250484248192), (20, 2, 0.2025182344352362), (21, 1, 0.5008754751286145), (22, 2, 0.6931704759709307), (23, 3, 0.3248270530569919), (24, 2, 0.3334742024621601), (25, 3, 0.4116468321536234), (26, 1, 0.7885419917086263), (27, 2, 0.340294409415687), (28, 2, 0.6343787915591867), (29, 2, 0.8927900024265386), (30, 2, 0.0020298194004886305), (31, 1, 0.4124335931686731), (32, 1, 0.4503043530857751), (33, 3, 0.4773465493075423), (34, 3, 0.8249528368977315), (35, 2, 0.3020962415757995), (36, 3, 0.829819781742228), (37, 1, 0.7813041568074566), (38, 3, 0.21008689852884121), (39, 3, 0.8869462770306642), (40, 1, 0.8740132948255471), (41, 3, 0.053232452773339545), (42, 1, 0.530145648312997), (43, 2, 0.6384066673825749), (44, 3, 0.3309570117245475), (45, 1, 0.7570751117532786), (46, 1, 0.3691273437612239), (47, 1, 0.7954348873971917), (48, 1, 0.765282805424125), (49, 2, 0.5516009221890493)]","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]",24,15,14,14,18,24.0
"[(0, 3, 0.25867220827013626), (1, 2, 0.27707822886348876), (2, 1, 0.4331699684869258), (3, 3, 0.8676304090236743), (4, 1, 0.7572120691132954), (5, 2, 0.6704224408225049), (6, 3, 0.2775230488183654), (7, 3, 0.8170725430278039), (8, 1, 0.2862831173632049), (9, 2, 0.5941873949388525), (10, 3, 0.9426536854768663), (11, 3, 0.9773034794140999), (12, 1, 0.8037240246630245), (13, 2, 0.40116603957235963), (14, 1, 0.649043851736893), (15, 3, 0.11593890535308327), (16, 2, 0.3212265064142925), (17, 1, 0.5208424333055826), (18, 1, 0.9159256771404582), (19, 2, 0.6160101400846166), (20, 1, 0.4708531182058454), (21, 3, 0.742520381431786), (22, 3, 0.790747540677678), (23, 2, 0.06566323644178262), (24, 3, 0.035138769828776395), (25, 3, 0.8315201783743341), (26, 2, 0.8919641954288368), (27, 2, 0.7719892948210658), (28, 3, 0.8771191909116796), (29, 1, 0.936342705484931), (30, 1, 0.3643625686768809), (31, 3, 0.6974122673150048), (32, 2, 0.3388485302321853), (33, 1, 0.10035728801899235), (34, 3, 0.8978742939910609), (35, 2, 0.9255993611394349), (36, 3, 0.9443166721794759), (37, 2, 0.436452814994689), (38, 1, 0.9857996103970177), (39, 3, 0.8031939480067586), (40, 1, 0.74820222425781), (41, 3, 0.03752080573783689), (42, 2, 0.27972020513832707), (43, 2, 0.7646259090750879), (44, 2, 0.054561639783252014), (45, 2, 0.008370911619403953), (46, 3, 0.2715249444531067), (47, 1, 0.982607565014212), (48, 1, 0.7434556195615841), (49, 3, 0.48580496517737926)]","[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",26,5,9,20,14,26.0
"[(0, 1, 0.3232274940347527), (1, 3, 0.0446758160545323), (2, 3, 0.7438445595160578), (3, 2, 0.7151542012087924), (4, 2, 0.7350060824094862), (5, 2, 0.36191377488029686), (6, 1, 0.9931275269883404), (7, 2, 0.9853196827494972), (8, 3, 0.8243040209091033), (9, 3, 0.618798289052313), (10, 1, 0.4093114552866436), (11, 2, 0.18454941366865518), (12, 2, 0.257237550951833), (13, 2, 0.6217677185436241), (14, 1, 0.0512347586759081), (15, 1, 0.7236935584456357), (16, 1, 0.8115821932539609), (17, 2, 0.3068226878953383), (18, 1, 0.9158362951314469), (19, 2, 0.0074932835218254334), (20, 3, 0.666804435994784), (21, 2, 0.16112018595855127), (22, 2, 0.6158456155363132), (23, 3, 0.4318360436468075), (24, 2, 0.9734672577188792), (25, 3, 0.5240968907043884), (26, 3, 0.5495206505445371), (27, 2, 0.15680406764431776), (28, 1, 0.05726052444989904), (29, 2, 0.7070034426579236), (30, 3, 0.15493292537721537), (31, 3, 0.2684626934860599), (32, 3, 0.2736573438099751), (33, 2, 0.28476949353727854), (34, 3, 0.1529932013551739), (35, 1, 0.7537455245779032), (36, 3, 0.3424515749818494), (37, 1, 0.574905498238129), (38, 2, 0.8943653835836769), (39, 1, 0.0019784687300657966), (40, 2, 0.1411568593883561), (41, 2, 0.8074379993323263), (42, 3, 0.4009001040634893), (43, 3, 0.5529239663444359), (44, 3, 0.9994935121386159), (45, 3, 0.29518875686867707), (46, 3, 0.8692252478093007), (47, 2, 0.9589270682999276), (48, 2, 0.6444136665795901), (49, 1, 0.390059735803985)]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0]",14,5,12,5,17,13.0
"[(0, 1, 0.20383527048159522), (1, 1, 0.814666846329585), (2, 3, 0.9681988456481542), (3, 3, 0.683892268698056), (4, 3, 0.4356928139914187), (5, 3, 0.5111353743128503), (6, 2, 0.711490925449001), (7, 2, 0.038141074990367896), (8, 1, 0.8042426139950429), (9, 1, 0.1621245174618826), (10, 1, 0.5571639737841427), (11, 3, 0.5598784707311513), (12, 3, 0.8795542582157878), (13, 3, 0.9551859880117224), (14, 2, 0.8119111645344005), (15, 1, 0.11762824251237713), (16, 1, 0.2481702848282067), (17, 3, 0.8124175743799273), (18, 3, 0.7936762962513029), (19, 2, 0.4652828830222778), (20, 3, 0.1463256879079895), (21, 1, 0.010509441326302271), (22, 2, 0.5024299680818474), (23, 3, 0.5872946179951811), (24, 1, 0.5029846550167875), (25, 2, 0.29409230045165946), (26, 2, 0.02913004316476886), (27, 3, 0.08133412083987779), (28, 2, 0.966385406621174), (29, 2, 0.6866823699683331), (30, 2, 0.6288328055300317), (31, 3, 0.12375508315616734), (32, 2, 0.44763300534649453), (33, 2, 0.8668069894589291), (34, 3, 0.8633262459514696), (35, 2, 0.9353341511132295), (36, 3, 0.9270016485776299), (37, 3, 0.7494086073186982), (38, 1, 0.4962992082994391), (39, 3, 0.30233834700801065), (40, 3, 0.627864937708981), (41, 1, 0.48267118686800525), (42, 3, 0.2471351534717765), (43, 2, 0.5883096800277674), (44, 3, 0.163285734115997), (45, 1, 0.45097329130307395), (46, 2, 0.13219561651340117), (47, 3, 0.09980182631584877), (48, 3, 0.5261162956046924), (49, 3, 0.7141467853881666)]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",17,17,17,14,20,17.0
"[(0, 3, 0.9075004591927328), (1, 1, 0.9823782252963003), (2, 2, 0.8833022636784876), (3, 1, 0.3611719483380995), (4, 2, 0.6549098839286146), (5, 1, 0.8219488795685724), (6, 2, 0.7507391691293119), (7, 3, 0.6838199947798139), (8, 2, 0.46585411533007426), (9, 1, 0.36543229637952956), (10, 1, 0.37839271624649384), (11, 3, 0.11464343219587614), (12, 2, 0.1352049841266585), (13, 3, 0.7672928125560995), (14, 1, 0.007385258913271575), (15, 1, 0.34113116752235595), (16, 3, 0.7660595013720309), (17, 3, 0.882763128957116), (18, 1, 0.6293966082495), (19, 2, 0.11361661640863163), (20, 2, 0.13523852455509044), (21, 1, 0.5649106567681117), (22, 2, 0.010037880768900442), (23, 1, 0.3749379178103076), (24, 1, 0.05019897703577392), (25, 3, 0.037713600323319496), (26, 2, 0.8381000579741774), (27, 3, 0.9078989184140099), (28, 1, 0.3683911490518845), (29, 2, 0.7312702616170247), (30, 3, 0.5290019972550108), (31, 2, 0.8266501722292957), (32, 2, 0.37731967297987135), (33, 3, 0.9011171039113389), (34, 1, 0.18709535212765804), (35, 3, 0.893043117458567), (36, 2, 0.25300188798466594), (37, 2, 0.4120788439193477), (38, 2, 0.5449513875191457), (39, 3, 0.9162886441255804), (40, 2, 0.03451050665532174), (41, 3, 0.8478270512292322), (42, 3, 0.8688072480707913), (43, 2, 0.6869422716571079), (44, 2, 0.3074958640494385), (45, 3, 0.6551355530875761), (46, 2, 0.24777295678339417), (47, 1, 0.8264935409702409), (48, 2, 0.48543641070946464), (49, 2, 0.5261027188245214)]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]",17,17,15,18,19,17.0
"[(0, 3, 0.8178432618672982), (1, 2, 0.8372451372165445), (2, 3, 0.291928965017604), (3, 1, 0.39657520296335613), (4, 2, 0.281343823846401), (5, 1, 0.8150212188483332), (6, 3, 0.9372314397215723), (7, 3, 0.9328741329157123), (8, 3, 0.9019192751689353), (9, 1, 0.5690747015402353), (10, 3, 0.936235690860369), (11, 3, 0.5300090059416419), (12, 1, 0.7568054776781556), (13, 1, 0.16132733177796754), (14, 3, 0.17601579604265072), (15, 2, 0.8486148429777801), (16, 3, 0.8433106358622086), (17, 1, 0.16634311101528), (18, 2, 0.46945985644117594), (19, 1, 0.03391821684210705), (20, 1, 0.9791389890403206), (21, 3, 0.9842879868085478), (22, 2, 0.23170165060931736), (23, 2, 0.5273371520125667), (24, 1, 0.5101646306051315), (25, 1, 0.3703312823004934), (26, 2, 0.034603390999715655), (27, 1, 0.8023390631000434), (28, 3, 0.27341181440715545), (29, 3, 0.8448760828763869), (30, 2, 0.493038553796725), (31, 3, 0.1776332418597525), (32, 3, 0.5681374245505106), (33, 2, 0.7921814938275727), (34, 2, 0.6104940789345968), (35, 1, 0.18774312346573052), (36, 3, 0.12614567634978047), (37, 1, 0.9609233684519812), (38, 3, 0.11036040003068215), (39, 1, 0.6245888932013145), (40, 1, 0.28634985605560026), (41, 3, 0.10582372998593881), (42, 1, 0.4864825438539757), (43, 2, 0.6228888367697736), (44, 3, 0.5711455860540682), (45, 1, 0.1425203975624304), (46, 2, 0.16771184773917014), (47, 1, 0.42360762277451025), (48, 2, 0.635482727508744), (49, 3, 0.39314748846038494)]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",18,15,12,16,20,16.0
"[(0, 3, 0.22401154447736904), (1, 1, 0.07119130146735386), (2, 2, 0.5707741851379424), (3, 2, 0.4517606163293497), (4, 1, 0.1327392483790072), (5, 3, 0.7889226556195373), (6, 3, 0.7759813744949925), (7, 3, 0.3940554614620405), (8, 1, 0.588044436449584), (9, 1, 0.6158132147706319), (10, 1, 0.8280973375825876), (11, 1, 0.08867480204359834), (12, 2, 0.4239111179132711), (13, 2, 0.22525862266632046), (14, 2, 0.5142487270111541), (15, 2, 0.020054028442485494), (16, 3, 0.06432647535094249), (17, 2, 0.0829258209658944), (18, 3, 0.9088335435793533), (19, 3, 0.022173863224467016), (20, 2, 0.27982004279466355), (21, 1, 0.9672841871345101), (22, 3, 0.15299710170780034), (23, 2, 0.07810389224239445), (24, 3, 0.22777858767048664), (25, 3, 0.97622143397004), (26, 1, 0.3054606133442459), (27, 2, 0.26122341420304807), (28, 1, 0.2377439865377472), (29, 1, 0.7783462924348178), (30, 1, 0.2365489085577891), (31, 3, 0.5811079621293679), (32, 2, 0.41592307149670227), (33, 3, 0.7870545247808888), (34, 2, 0.04025712698565864), (35, 3, 0.20259922676984843), (36, 3, 0.802969571768261), (37, 3, 0.34494355614020333), (38, 1, 0.138096819485511), (39, 3, 0.7260445382717994), (40, 1, 0.1463745250352123), (41, 3, 0.36474029998230395), (42, 1, 0.7807620952921194), (43, 2, 0.27044179647679956), (44, 3, 0.3164823305588055), (45, 2, 0.4999649369432796), (46, 2, 0.19621186984313777), (47, 1, 0.32297978101450897), (48, 2, 0.21343901849092584), (49, 3, 0.5412713028198005)]","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",9,13,15,15,6,9.0
"[(0, 2, 0.6088723747382286), (1, 3, 0.6799477013309396), (2, 1, 0.7502947996603228), (3, 3, 0.3065077412522884), (4, 3, 0.586438605548051), (5, 3, 0.26104249139802005), (6, 1, 0.36571090072157186), (7, 3, 0.7265345004218828), (8, 2, 0.12046255332737821), (9, 3, 0.1655896792086654), (10, 2, 0.9865278532190729), (11, 1, 0.5713592035034315), (12, 2, 0.5746384037594234), (13, 2, 0.1743187617780817), (14, 2, 0.6769136259498025), (15, 1, 0.9478154928431504), (16, 1, 0.9628116799532312), (17, 2, 0.5731141275478875), (18, 1, 0.2570342199297605), (19, 3, 0.1908884773097279), (20, 1, 0.6635676598689262), (21, 2, 0.8795964225565424), (22, 2, 0.0922502636147795), (23, 1, 0.9914002422147556), (24, 1, 0.9507530461704108), (25, 1, 0.3317850719837284), (26, 3, 0.46347194048086626), (27, 2, 0.6638286114664111), (28, 3, 0.11482858508992932), (29, 2, 0.959389146588853), (30, 1, 0.6764749986969869), (31, 2, 0.5414897410650865), (32, 2, 0.549471776336156), (33, 3, 0.1326377182156715), (34, 3, 0.04418456181549979), (35, 1, 0.16569688096976887), (36, 2, 0.7878141792921791), (37, 3, 0.41488622930590446), (38, 1, 0.20014064190287517), (39, 2, 0.4358047400446796), (40, 3, 0.40517161322546535), (41, 2, 0.29288911727757116), (42, 3, 0.6137689058849993), (43, 1, 0.493779611565765), (44, 3, 0.8867716489647702), (45, 2, 0.007790901150050211), (46, 2, 0.4891619631084769), (47, 3, 0.018018510896016693), (48, 3, 0.4110060015901007), (49, 1, 0.45426221717730353)]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",7,10,18,12,10,7.0
