agents,clearanceStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 2, 0.5103977607822469), (1, 1, 0.6277138566364849), (2, 2, 0.3982755382331655), (3, 1, 0.9310122291094456), (4, 3, 0.8061852301981794), (5, 2, 0.7293879663545524), (6, 2, 0.6427604449560155), (7, 1, 0.08479259958548879), (8, 2, 0.013737413908864737), (9, 3, 0.3014284576579156), (10, 2, 0.6557204734167874), (11, 3, 0.3469381911012204), (12, 3, 0.886075781877428), (13, 3, 0.2728653376561805), (14, 1, 0.4998679145660493), (15, 1, 0.46052082149175577), (16, 2, 0.6037041171900609), (17, 3, 0.6766657122613612), (18, 3, 0.6986888169193278), (19, 3, 0.4402763009926721), (20, 1, 0.6559703646810503), (21, 1, 0.10491661656189899), (22, 1, 0.5863995299132505), (23, 3, 0.5689752776725232), (24, 1, 0.1986503957899487), (25, 1, 0.4100170946762922), (26, 3, 0.3151128547276191), (27, 2, 0.5105469654008397), (28, 3, 0.943500809116673), (29, 1, 0.5033898683649749), (30, 1, 0.27545062958534783), (31, 3, 0.506541790801027), (32, 3, 0.6717318759490591), (33, 2, 0.10869595732652504), (34, 2, 0.2613931329421423), (35, 2, 0.2604687012287069), (36, 3, 0.7482137400343554), (37, 2, 0.07942015085589404), (38, 3, 0.5249064977744738), (39, 3, 0.45271800575142784), (40, 1, 0.7286256101778685), (41, 2, 0.5565021875792597), (42, 1, 0.8201309998053378), (43, 3, 0.8477202160685043), (44, 3, 0.9528088880754549), (45, 1, 0.7980905710706583), (46, 1, 0.2512701136972093), (47, 2, 0.10792669236668206), (48, 1, 0.2324263461339876), (49, 1, 0.10516347463702835)]","[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",18,18,15,17,6,22
"[(0, 3, 0.7519117961530066), (1, 1, 0.31958767770851326), (2, 2, 0.7768764707624543), (3, 3, 0.6442911471111828), (4, 2, 0.44074275670841256), (5, 2, 0.32618801164957456), (6, 2, 0.6036302896282433), (7, 2, 0.35915843594934993), (8, 3, 0.7900468756543273), (9, 1, 0.16920036711073083), (10, 1, 0.8883224762293105), (11, 2, 0.9508446118531615), (12, 3, 0.0885897841312745), (13, 3, 0.8941959408360137), (14, 1, 0.9196004275650709), (15, 1, 0.8226449216727009), (16, 2, 0.16138033161911414), (17, 2, 0.16363698956765715), (18, 2, 0.7927907709754819), (19, 3, 0.9566355995583067), (20, 2, 0.7029525356141422), (21, 3, 0.8923766477154571), (22, 2, 0.16780394555330247), (23, 2, 0.4179174104022634), (24, 3, 0.1917643804010115), (25, 2, 0.9139100386020871), (26, 3, 0.4096777683263789), (27, 2, 0.13967633591619566), (28, 2, 0.1475753899506662), (29, 3, 0.6426669383254618), (30, 3, 0.5431925693223556), (31, 3, 0.1578761081699963), (32, 1, 0.5239278131049421), (33, 2, 0.014445237937559141), (34, 1, 0.3947062191762547), (35, 3, 0.9825462482587219), (36, 3, 0.468350457955824), (37, 2, 0.5924717555615736), (38, 3, 0.7274965758033138), (39, 3, 0.3114865732362603), (40, 2, 0.9587570441699504), (41, 2, 0.2730323490630887), (42, 2, 0.03008883844565402), (43, 2, 0.4669925487941957), (44, 1, 0.9054404528292147), (45, 1, 0.22892026759477713), (46, 1, 0.7883903638137573), (47, 1, 0.49794463261366784), (48, 1, 0.6476017667630651), (49, 1, 0.49808848655604443)]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",24,19,6,19,11,23
"[(0, 2, 0.23155641116809733), (1, 2, 0.26548021550734524), (2, 1, 0.8936054645783185), (3, 2, 0.7270021811307055), (4, 1, 0.3621168163584242), (5, 3, 0.729242068249683), (6, 2, 0.3708199482743525), (7, 1, 0.12175726248063334), (8, 1, 0.2638470825304279), (9, 2, 0.5569610808811921), (10, 1, 0.05864328293009524), (11, 1, 0.9556434241226456), (12, 1, 0.4179929407460278), (13, 2, 0.9784035657202984), (14, 2, 0.3918183874202046), (15, 1, 0.42579173961912586), (16, 3, 0.11160286216674309), (17, 3, 0.7357325771361367), (18, 3, 0.872198306759301), (19, 2, 0.9597980077045332), (20, 1, 0.8170771703234467), (21, 1, 0.6736657466331087), (22, 2, 0.9502964925347568), (23, 2, 0.9573364794657006), (24, 2, 0.6572722990879687), (25, 3, 0.06788134580289307), (26, 3, 0.6575721785874952), (27, 2, 0.18577043491576295), (28, 2, 0.19444608328501545), (29, 2, 0.5396072554402118), (30, 3, 0.5467855551702338), (31, 1, 0.24112051466285722), (32, 1, 0.3908346150186772), (33, 3, 0.21689228225699764), (34, 1, 0.8540194296489557), (35, 2, 0.6670539754067226), (36, 3, 0.0055559630838989404), (37, 3, 0.6050681867959662), (38, 3, 0.010501108470559184), (39, 3, 0.03296702472004409), (40, 1, 0.7707508165445224), (41, 3, 0.39771934132030906), (42, 3, 0.4984740354756274), (43, 1, 0.1934403399168474), (44, 3, 0.8841708179211973), (45, 3, 0.2630840417950978), (46, 1, 0.7616980409455277), (47, 3, 0.3349621103777649), (48, 1, 0.9168395180606096), (49, 3, 0.4985187176454289)]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",19,5,12,10,12,19
"[(0, 3, 0.18932409781930326), (1, 2, 0.9678377684277297), (2, 1, 0.07727001097897834), (3, 1, 0.5659804344600086), (4, 2, 0.36694980931926524), (5, 3, 0.9415569385331857), (6, 2, 0.07518007903423474), (7, 1, 0.8932348529938728), (8, 2, 0.2647889593381342), (9, 3, 0.3239318801480524), (10, 3, 0.3713794276369087), (11, 3, 0.5349837304904773), (12, 2, 0.3163577737538228), (13, 1, 0.8765605661509849), (14, 2, 0.44804798211875174), (15, 1, 0.7925719755212867), (16, 1, 0.27104220222508846), (17, 1, 0.3026466560118912), (18, 2, 0.6060489099261681), (19, 2, 0.46811283112016355), (20, 3, 0.45776887591194837), (21, 2, 0.03519020210181001), (22, 2, 0.6860570986097287), (23, 3, 0.4835829025896199), (24, 1, 0.3391497094749677), (25, 1, 0.6633138729212328), (26, 3, 0.41316646239548627), (27, 3, 0.8551162145216735), (28, 1, 0.056511636700333545), (29, 3, 0.6502685952373132), (30, 3, 0.13769865045633256), (31, 2, 0.7040492616858516), (32, 1, 0.5586001829503179), (33, 1, 0.19698845628927386), (34, 3, 0.9579261475166672), (35, 1, 0.8295728208857184), (36, 1, 0.878666646488646), (37, 2, 0.7063252150590039), (38, 2, 0.9863671545174373), (39, 2, 0.06796315519399254), (40, 2, 0.2749948591011361), (41, 3, 0.08134918894340826), (42, 1, 0.7659446843012434), (43, 1, 0.7149235710479762), (44, 1, 0.8058174111695343), (45, 1, 0.714208330242301), (46, 1, 0.8091746571191676), (47, 1, 0.22808057592517594), (48, 3, 0.819196242566714), (49, 2, 0.8364573600786775)]","[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",20,11,18,13,19,13
"[(0, 1, 0.3890584511426731), (1, 2, 0.7864877377911024), (2, 1, 0.0024532464742759164), (3, 1, 0.004873615078694882), (4, 1, 0.25408528301593925), (5, 3, 0.25700393790568166), (6, 1, 0.44831695223913604), (7, 2, 0.9080889726027539), (8, 1, 0.5314039302372439), (9, 2, 0.09576503557913318), (10, 2, 0.2205968744812874), (11, 3, 0.7742098557030805), (12, 1, 0.1932365971201765), (13, 2, 0.12685013497047926), (14, 3, 0.3593876173174433), (15, 2, 0.14534770891080084), (16, 2, 0.2226380392775532), (17, 3, 0.4971772412379557), (18, 3, 0.6926196297677435), (19, 1, 0.0023157167754928043), (20, 2, 0.09059587190824347), (21, 3, 0.2631137512543118), (22, 2, 0.09998831418389176), (23, 1, 0.16210486247595135), (24, 1, 0.49250224215388494), (25, 1, 0.47616022997100693), (26, 1, 0.9301164566678295), (27, 3, 0.2517929599338118), (28, 2, 0.7703737306179045), (29, 1, 0.6325001580868052), (30, 1, 0.45992264826110585), (31, 3, 0.4141496736790711), (32, 3, 0.9740558019657727), (33, 1, 0.26397030032023616), (34, 1, 0.027338402069864154), (35, 1, 0.9607772693985565), (36, 2, 0.23080710764341383), (37, 2, 0.07784738928574197), (38, 2, 0.8591529776027267), (39, 3, 0.8689753161649924), (40, 3, 0.061530212059086486), (41, 2, 0.08540142380630877), (42, 1, 0.8645953600462354), (43, 1, 0.7464664425566461), (44, 3, 0.6111522648402232), (45, 2, 0.9718775987535904), (46, 1, 0.9621334950708986), (47, 3, 0.8339796963490775), (48, 1, 0.54006973872128), (49, 1, 0.2915324239879188)]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",16,17,15,21,21,14
"[(0, 3, 0.38980249027143843), (1, 3, 0.4603847749540405), (2, 2, 0.021057775594788608), (3, 2, 0.3097071690742247), (4, 2, 0.17026006063986476), (5, 2, 0.395058661032769), (6, 1, 0.15517153613331458), (7, 1, 0.8150217002712241), (8, 2, 0.9448924657347), (9, 1, 0.040240532547375474), (10, 3, 0.7590193156658727), (11, 1, 0.7314319023320137), (12, 3, 0.22474669269109504), (13, 3, 0.45250382988417603), (14, 1, 0.4512458883321363), (15, 2, 0.8425036209249254), (16, 3, 0.1359984497259118), (17, 3, 0.9494251812679783), (18, 2, 0.6755565184027786), (19, 3, 0.48399943487478003), (20, 1, 0.5941972906922334), (21, 1, 0.17181230012355564), (22, 1, 0.6680572451060728), (23, 2, 0.5894623245368427), (24, 3, 0.6710522724918955), (25, 2, 0.45846969934854453), (26, 2, 0.31473613694413993), (27, 1, 0.799015186796569), (28, 2, 0.38018446745507495), (29, 2, 0.8424061559422492), (30, 2, 0.5810874520099328), (31, 3, 0.46636735168726584), (32, 3, 0.04213146797310208), (33, 1, 0.9105892630235002), (34, 3, 0.3142466969764657), (35, 1, 0.7869014220919058), (36, 1, 0.49410025957737036), (37, 3, 0.2799125718773008), (38, 3, 0.007551157254616414), (39, 1, 0.6254009731900971), (40, 1, 0.9770307825995116), (41, 1, 0.9760073937445116), (42, 3, 0.7613287077446634), (43, 1, 0.17401926111768407), (44, 3, 0.6203515512555131), (45, 3, 0.7344864239594253), (46, 2, 0.8624146203188713), (47, 3, 0.011302974415490774), (48, 2, 0.32194823192246447), (49, 3, 0.09214460521670853)]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0]",6,13,20,11,18,13
"[(0, 2, 0.2781958456614657), (1, 1, 0.434389578721355), (2, 2, 0.4302560542870736), (3, 2, 0.405261243315564), (4, 2, 0.21035917254453462), (5, 3, 0.9431521968408163), (6, 2, 0.218174411180045), (7, 3, 0.7587068864396413), (8, 1, 0.5957870956226863), (9, 3, 0.6356386826645912), (10, 1, 0.8059779722461735), (11, 1, 0.10702466696564905), (12, 3, 0.3409069071836204), (13, 1, 0.23177096365993377), (14, 3, 0.8575000271839672), (15, 1, 0.9787456103083952), (16, 3, 0.3176876051017127), (17, 1, 0.06639442858979028), (18, 3, 0.8609180726443906), (19, 1, 0.0260543795111724), (20, 1, 0.2769768572524336), (21, 2, 0.8022687317246987), (22, 3, 0.3605692260351514), (23, 3, 0.07390472291111116), (24, 3, 0.4068636584408931), (25, 1, 0.8409934813652425), (26, 3, 0.015048618913918288), (27, 2, 0.6136716383401161), (28, 1, 0.7688030603921512), (29, 2, 0.16692096603065165), (30, 2, 0.34753579423511827), (31, 1, 0.609869980907638), (32, 2, 0.9709013633159775), (33, 1, 0.47404518952006447), (34, 1, 0.12552691491203272), (35, 3, 0.6045423004066719), (36, 1, 0.30389099269081377), (37, 3, 0.23109348883804193), (38, 3, 0.8267126609212954), (39, 2, 0.10056953456776319), (40, 1, 0.37439787038348793), (41, 2, 0.3551581685038411), (42, 1, 0.49978967927285356), (43, 3, 0.5412978614453023), (44, 1, 0.16195724483457308), (45, 3, 0.775328565984423), (46, 2, 0.8065331591245474), (47, 3, 0.8923578343062165), (48, 1, 0.532430362902846), (49, 2, 0.7016270565485566)]","[1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",15,18,13,11,8,22
"[(0, 3, 0.7231004713695344), (1, 2, 0.56453999998282), (2, 1, 0.07180466530158958), (3, 1, 0.7948276237962957), (4, 1, 0.021578065514068157), (5, 1, 0.18234849577884393), (6, 2, 0.5921749255779934), (7, 1, 0.1492704898952536), (8, 1, 0.40127820628283084), (9, 3, 0.7043823267783947), (10, 2, 0.07956985327291322), (11, 1, 0.6860367586255398), (12, 1, 0.7383922707260596), (13, 3, 0.6225273795384917), (14, 1, 0.7875301969259259), (15, 2, 0.2954522749101004), (16, 2, 0.6080037881001963), (17, 1, 0.2043919190160609), (18, 3, 0.6188514749704693), (19, 1, 0.15606586271444678), (20, 2, 0.7333348575758799), (21, 3, 0.37576609778281334), (22, 1, 0.28133206753298035), (23, 3, 0.37976399371016634), (24, 2, 0.3674693155131742), (25, 2, 0.8042585016545006), (26, 1, 0.7076494888646869), (27, 2, 0.4421743031523039), (28, 1, 0.9513114072876296), (29, 2, 0.6193652713609519), (30, 3, 0.34893279213198614), (31, 2, 0.3547565962892283), (32, 3, 0.9178402980561784), (33, 3, 0.2866337143118205), (34, 2, 0.9721645899994794), (35, 1, 0.7822690037772869), (36, 3, 0.9643677868834993), (37, 1, 0.13347119969070464), (38, 3, 0.3919131843191449), (39, 2, 0.9949822329081277), (40, 2, 0.8084002321295624), (41, 2, 0.8800772676482237), (42, 3, 0.862334891896914), (43, 2, 0.8116276520197063), (44, 2, 0.9091392361428177), (45, 1, 0.19930306088907246), (46, 3, 0.32539474420615), (47, 1, 0.9327805252636485), (48, 2, 0.2733923136001487), (49, 3, 0.8812116035379626)]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]",16,18,14,19,17,16
"[(0, 1, 0.03242041195394607), (1, 3, 0.6920442588154355), (2, 1, 0.717192699976073), (3, 2, 0.5553038030899062), (4, 3, 0.3906297443392458), (5, 3, 0.9629473832288837), (6, 3, 0.31967246453866827), (7, 1, 0.9233273112515558), (8, 1, 0.9445713332072374), (9, 2, 0.6002825653329165), (10, 1, 0.5960266002563785), (11, 3, 0.8060014115779999), (12, 1, 0.10384125814718592), (13, 2, 0.40946748067466476), (14, 1, 0.7301350285747296), (15, 2, 0.5490403165521714), (16, 2, 0.6521538281781719), (17, 3, 0.04861503223313712), (18, 2, 0.01648675110963671), (19, 3, 0.6496459844302058), (20, 1, 0.252210417263245), (21, 1, 0.3669066040864756), (22, 1, 0.5298158922566757), (23, 3, 0.663208058012771), (24, 1, 0.6311132852584554), (25, 1, 0.8800821578009485), (26, 1, 0.5076287465711523), (27, 3, 0.7514115514740218), (28, 3, 0.7379873921402974), (29, 3, 0.5606989535639362), (30, 3, 0.41763630186864054), (31, 3, 0.8694538232472225), (32, 1, 0.9949598150218486), (33, 1, 0.7650231181786344), (34, 3, 0.37118006699735007), (35, 1, 0.5724782672396485), (36, 2, 0.1354011814433982), (37, 1, 0.6582740300278934), (38, 1, 0.8355418835474562), (39, 1, 0.11451558921692373), (40, 2, 0.3678491427929358), (41, 2, 0.6898897461888825), (42, 2, 0.516209772385353), (43, 2, 0.07764446181352569), (44, 1, 0.7855547519842084), (45, 1, 0.41846679304318113), (46, 2, 0.5416588534974248), (47, 2, 0.34751421071097266), (48, 3, 0.10565087560192787), (49, 2, 0.5907501481772253)]","[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",21,12,16,5,6,14
"[(0, 3, 0.7478576611503257), (1, 3, 0.702799773583308), (2, 1, 0.5137425834474135), (3, 2, 0.8098079686617292), (4, 1, 0.4249548219012872), (5, 3, 0.4236853359205167), (6, 3, 0.3492592057877839), (7, 3, 0.812084716144381), (8, 1, 0.908617843525616), (9, 3, 0.9877938179866521), (10, 3, 0.3647725122296993), (11, 2, 4.028029048974702e-05), (12, 1, 0.36608009034156186), (13, 1, 0.5440218434812198), (14, 1, 0.9104147306049191), (15, 3, 0.2561125819815956), (16, 1, 0.5386319747436539), (17, 1, 0.972632746954869), (18, 1, 0.004161504596565169), (19, 2, 0.9965859050459813), (20, 3, 0.6291065376325451), (21, 1, 0.6732985108781363), (22, 1, 0.8909446694873285), (23, 2, 0.4259453442315527), (24, 3, 0.8440229241535113), (25, 3, 0.18506559739946749), (26, 1, 0.45103866705922), (27, 2, 0.15566683080839816), (28, 2, 0.9867953229695301), (29, 3, 0.4566158071573224), (30, 2, 0.6992829132796142), (31, 2, 0.7274554445675151), (32, 3, 0.011456169242405778), (33, 2, 0.6477882395227528), (34, 1, 0.1944398813123932), (35, 1, 0.7851243444611002), (36, 3, 0.15808960712836784), (37, 2, 0.531233722562165), (38, 1, 0.45312939919912176), (39, 3, 0.02132962706577346), (40, 1, 0.3862643273699049), (41, 2, 0.029364660050082314), (42, 1, 0.7573884365504073), (43, 1, 0.7401848903515157), (44, 2, 0.7915579594774428), (45, 2, 0.19318325810385295), (46, 1, 0.021631296254261634), (47, 2, 0.8933077947151116), (48, 3, 0.5237595716263256), (49, 3, 0.9620606825193625)]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]",23,21,24,15,18,22
