sample_id,agents,healthStatus,avg_p,p_0,u_0,p_1,u_1,p_2,u_2,p_3,u_3,U_max,U_single,U_D_classical,U_D_A_optimal,U_greedy_sequential,U_greedy_counting
0,"[(0, 0.6394267984578837, 0.025010755222666936), (1, 0.27502931836911926, 0.22321073814882275), (2, 0.7364712141640124, 0.6766994874229113), (3, 0.8921795677048454, 0.08693883262941615)]","[0, 0, 0, 0]",0.7470350466440457,0.9749892447773331,0.6394267984578837,0.7767892618511772,0.27502931836911926,0.3233005125770887,0.7364712141640124,0.9130611673705838,0.8921795677048454,0.6533167875433751,0.5759347432385927,0.5759347432385926,0.5759347432385926,0.5759347432385926,0.5759347432385928
1,"[(0, 0.038551839337380045, 0.6962243226370528), (1, 0.14393322139536102, 0.46253225482908755), (2, 0.671646764117767, 0.7929512716552943), (3, 0.45318922846621235, 0.4982722297980512)]","[1, 0, 1, 1]",0.38750498027012853,0.3037756773629472,0.038551839337380045,0.5374677451709124,0.14393322139536102,0.20704872834470567,0.671646764117767,0.5017277702019488,0.45318922846621235,0.8518092487645554,0.7583947630986649,0.7583947630986649,0.7583947630986649,0.7583947630986649,0.7583947630986649
2,"[(0, 0.40853587925449375, 0.5419720091045962), (1, 0.8620366164792732, 0.17666564419544384), (2, 0.2251595205781467, 0.02909725326811108), (3, 0.1166505334428638, 0.008805625887066904)]","[0, 0, 0, 0]",0.8108648668861955,0.4580279908954038,0.40853587925449375,0.8233343558045562,0.8620366164792732,0.9709027467318889,0.2251595205781467,0.9911943741129331,0.1166505334428638,0.38128596999425574,0.3737072654412423,0.3737072654412423,0.3737072654412423,0.3737072654412422,0.3737072654412422
3,"[(0, 0.2718754143840908, 0.48802820785090784), (1, 0.08187934237116656, 0.33873348699206973), (2, 0.07233360770535402, 0.011036367079899967), (3, 0.28385029589876865, 0.11770636555802805)]","[1, 0, 0, 0]",0.7611238931297736,0.5119717921490922,0.2718754143840908,0.6612665130079303,0.08187934237116656,0.9889636329201,0.07233360770535402,0.882293634441972,0.28385029589876865,0.1946274333342582,0.16609385793340564,0.16609385793340564,0.16609385793340564,0.16609385793340567,0.16609385793340567
4,"[(0, 0.8882680764524881, 0.39999439597101294), (1, 0.5886201827742321, 0.8597866735427614), (2, 0.22853920336460065, 0.5157172840235198), (3, 0.5837304855736061, 0.9471995219767291)]","[1, 0, 1, 1]",0.3193255311214942,0.6000056040289871,0.8882680764524881,0.1402133264572386,0.5886201827742321,0.4842827159764802,0.22853920336460065,0.052800478023270925,0.5837304855736061,1.5321608957791901,1.058997025826153,1.3223018921102279,1.3383350481655516,1.3249323121719887,1.3249323121719887
5,"[(0, 0.35184625582788265, 0.430186245990098), (1, 0.4536708635895742, 0.3434697408782532), (2, 0.5124443649244089, 0.3924154014554718), (3, 0.04090872254284261, 0.4185326073961467)]","[0, 1, 1, 0]",0.6038490010700075,0.569813754009902,0.35184625582788265,0.6565302591217468,0.4536708635895742,0.6075845985445282,0.5124443649244089,0.5814673926038533,0.04090872254284261,0.5253943294179005,0.35691327514653065,0.35691327514653065,0.35691327514653065,0.35691327514653065,0.3569132751465306
6,"[(0, 0.5481578284163297, 0.13189146337587565), (1, 0.7115468422680244, 0.3022500559178156), (2, 0.938325274775271, 0.19271834726532977), (3, 0.7619850071956039, 0.1656415474015609)]","[0, 1, 0, 0]",0.8018746465098545,0.8681085366241243,0.5481578284163297,0.6977499440821844,0.7115468422680244,0.8072816527346702,0.938325274775271,0.8343584525984391,0.7619850071956039,0.5944112828550734,0.39589756901563217,0.3958975690156321,0.3958975690156321,0.3958975690156321,0.3958975690156322
7,"[(0, 0.06688397634275167, 0.41324281642825933), (1, 0.11050473394613869, 0.752111461418534), (2, 0.5112851098756519, 0.04967399448053067), (3, 0.044807484435657075, 0.7359343862230144)]","[1, 1, 0, 1]",0.5122593353624154,0.5867571835717407,0.06688397634275167,0.24788853858146598,0.11050473394613869,0.9503260055194693,0.5112851098756519,0.26406561377698556,0.044807484435657075,0.16912414198198963,0.11608724549824923,0.12321152426212455,0.12591982876534968,0.12502076224305064,0.12502076224305064
8,"[(0, 0.4975365687586023, 0.2661737230725406), (1, 0.6374111614436909, 0.24247975418376266), (2, 0.4731685799874552, 0.9703361491117534), (3, 0.08518806501099674, 0.31737891751820513)]","[0, 0, 1, 0]",0.5509078640284346,0.7338262769274594,0.4975365687586023,0.7575202458162373,0.6374111614436909,0.029663850888246635,0.4731685799874552,0.6826210824817949,0.08518806501099674,0.7731599362564316,0.6136918795265568,0.6402663688989877,0.6432422252263695,0.6136918795265568,0.6136918795265568
9,"[(0, 0.243517762709337, 0.502208989503156), (1, 0.16193751429080594, 0.8212222158432813), (2, 0.23139951253383595, 0.5523286406385723), (3, 0.9263574247603646, 0.39737875423051217)]","[0, 1, 0, 1]",0.4317153499461196,0.49779101049684404,0.243517762709337,0.17877778415671874,0.16193751429080594,0.44767135936142766,0.23139951253383595,0.6026212457694878,0.9263574247603646,0.7512068314760751,0.5011014437375078,0.546526357788693,0.546526357788693,0.546526357788693,0.546526357788693
