B,cap,instance,opt_cap,opt_full,u_pi,u_pen,real_frac,cert_frac
1,1,0,3.5478509928281503,3.5478509928281503,7.880450862662505,5.8492048667538,1.0,0.6065526979562167
1,2,0,3.5478509928281503,3.5478509928281503,7.880450862662505,5.8492048667538,1.0,0.6065526979562167
1,3,0,3.5478509928281503,3.5478509928281503,7.880450862662505,5.8492048667538,1.0,0.6065526979562167
1,1,1,3.6443681968126462,3.6443681968126462,7.789135188155238,5.684249542492184,1.0,0.6411344487200014
1,2,1,3.6443681968126462,3.6443681968126462,7.789135188155238,5.684249542492184,1.0,0.6411344487200014
1,3,1,3.6443681968126462,3.6443681968126462,7.789135188155238,5.684249542492184,1.0,0.6411344487200014
1,1,2,2.098846860602949,2.098846860602949,4.611070953137928,3.4001923856088956,1.0,0.6172729724018525
1,2,2,2.098846860602949,2.098846860602949,4.611070953137928,3.4001923856088956,1.0,0.6172729724018525
1,3,2,2.098846860602949,2.098846860602949,4.611070953137928,3.4001923856088956,1.0,0.6172729724018525
1,1,3,2.8654342559655284,2.8654342559655284,6.515287377189479,4.862737368951212,1.0,0.5892636263396518
1,2,3,2.8654342559655284,2.8654342559655284,6.515287377189479,4.862737368951212,1.0,0.5892636263396518
1,3,3,2.8654342559655284,2.8654342559655284,6.515287377189479,4.862737368951212,1.0,0.5892636263396518
1,1,4,2.4662540891902855,2.4662540891902855,6.6688218754870014,4.670177267276887,1.0,0.528085755217665
1,2,4,2.4662540891902855,2.4662540891902855,6.6688218754870014,4.670177267276887,1.0,0.528085755217665
1,3,4,2.4662540891902855,2.4662540891902855,6.6688218754870014,4.670177267276887,1.0,0.528085755217665
1,1,5,1.8163680061077638,1.8163680061077638,4.78030984737418,3.3569883279406896,1.0,0.5410706945239802
1,2,5,1.8163680061077638,1.8163680061077638,4.78030984737418,3.3569883279406896,1.0,0.5410706945239802
1,3,5,1.8163680061077638,1.8163680061077638,4.78030984737418,3.3569883279406896,1.0,0.5410706945239802
1,1,6,3.909248993363418,3.909248993363418,8.816737103026213,6.238132484805657,1.0,0.6266697610038346
1,2,6,3.909248993363418,3.909248993363418,8.816737103026213,6.238132484805657,1.0,0.6266697610038346
1,3,6,3.909248993363418,3.909248993363418,8.816737103026213,6.238132484805657,1.0,0.6266697610038346
1,1,7,3.0333293656325626,3.0333293656325626,6.730166068302638,4.887171951468533,1.0,0.6206717086598694
1,2,7,3.0333293656325626,3.0333293656325626,6.730166068302638,4.887171951468533,1.0,0.6206717086598694
1,3,7,3.0333293656325626,3.0333293656325626,6.730166068302638,4.887171951468533,1.0,0.6206717086598694
1,1,8,3.089627979155546,3.089627979155546,7.356159262578719,5.228438213808345,1.0,0.5909275108187786
1,2,8,3.089627979155546,3.089627979155546,7.356159262578719,5.228438213808345,1.0,0.5909275108187786
1,3,8,3.089627979155546,3.089627979155546,7.356159262578719,5.228438213808345,1.0,0.5909275108187786
1,1,9,3.1160022033362385,3.1160022033362385,10.019980406895227,6.833469752082426,1.0,0.45599121915871077
1,2,9,3.1160022033362385,3.1160022033362385,10.019980406895227,6.833469752082426,1.0,0.45599121915871077
1,3,9,3.1160022033362385,3.1160022033362385,10.019980406895227,6.833469752082426,1.0,0.45599121915871077
