B,instance,seed,opt,myopic,lookahead_legacy,lookahead_exact
1,0,20260716,6.462484545636022,6.462484545636023,6.462484545636023,6.462484545636023
1,1,20260717,5.8021205309993,5.802120530999303,5.802120530999303,5.8021205309993
1,2,20260718,7.125653849411388,7.12565384941139,7.12565384941139,7.12565384941139
1,3,20260719,4.323870853336762,4.323870853336763,4.323870853336763,4.323870853336762
1,4,20260720,2.7638044048818546,2.763804404881854,2.763804404881854,2.7638044048818546
1,5,20260721,3.793069599426379,3.7930695994263783,3.7930695994263783,3.793069599426379
1,6,20260722,7.049080090379656,7.0490800903796575,7.0490800903796575,7.049080090379656
1,7,20260723,7.77839628809811,7.7783962880981115,7.7783962880981115,7.7783962880981115
1,8,20260724,3.6415300550476917,3.641530055047692,3.641530055047692,3.641530055047691
1,9,20260725,3.6786623670693723,3.6786623670693714,3.6786623670693714,3.6786623670693723
1,10,20260726,5.864374504969859,5.864374504969858,5.864374504969858,5.8643745049698595
1,11,20260727,5.375423963495746,5.375423963495747,5.375423963495747,5.375423963495746
1,12,20260728,3.9480448086710047,3.9480448086710056,3.9480448086710056,3.9480448086710047
1,13,20260729,4.944004867192664,4.944004867192667,4.944004867192667,4.944004867192666
1,14,20260730,4.564655339359019,4.564655339359018,4.564655339359018,4.564655339359019
1,15,20260731,7.358087771287773,7.358087771287774,7.358087771287774,7.3580877712877735
1,16,20260732,5.163851288689769,5.163851288689767,5.163851288689767,5.163851288689769
1,17,20260733,4.346350839394621,4.346350839394621,4.346350839394621,4.346350839394621
1,18,20260734,5.750983559917434,5.750983559917437,5.750983559917437,5.750983559917435
1,19,20260735,4.030773638914376,4.0307736389143765,4.0307736389143765,4.030773638914376
1,20,20260736,4.841831942970487,4.8418319429704875,4.8418319429704875,4.841831942970487
1,21,20260737,3.867371883453401,3.867371883453402,3.867371883453402,3.867371883453401
1,22,20260738,6.660052669999593,6.660052669999595,6.660052669999595,6.660052669999593
1,23,20260739,2.9786131768584454,2.978613176858445,2.978613176858445,2.9786131768584454
1,24,20260740,4.507991229151519,4.5079912291515205,4.5079912291515205,4.50799122915152
1,25,20260741,8.288035016463608,8.288035016463605,8.288035016463605,8.288035016463608
1,26,20260742,7.319036135174252,7.319036135174251,7.319036135174251,7.319036135174253
1,27,20260743,4.524408819202761,4.524408819202762,4.524408819202762,4.524408819202762
1,28,20260744,4.316790951228506,4.316790951228507,4.316790951228507,4.316790951228506
1,29,20260745,3.7619143102209724,3.761914310220973,3.761914310220973,3.761914310220973
2,0,20260716,10.060728597155464,10.045532305655478,10.060728597155466,10.060728597155466
2,1,20260717,9.076748457607765,8.952158847975694,9.076748457607769,9.076748457607765
2,2,20260718,11.511137172143412,11.511137172143414,11.511137172143414,11.511137172143414
2,3,20260719,6.332012277400956,6.332012277400957,6.332012277400957,6.332012277400956
2,4,20260720,4.649364199463769,4.4695841473350315,4.649364199463768,4.649364199463769
2,5,20260721,6.298913231405833,6.197403536313397,6.298913231405833,6.298913231405833
2,6,20260722,11.417029348292603,11.417029348292605,11.417029348292605,11.417029348292603
2,7,20260723,11.88453823315829,11.884538233158292,11.884538233158292,11.884538233158292
2,8,20260724,5.878221133423425,5.878221133423427,5.878221133423427,5.878221133423423
2,9,20260725,5.932857140239475,5.835065638598327,5.932857140239474,5.932857140239475
2,10,20260726,9.396202645024388,9.396202645024387,9.396202645024387,9.396202645024388
2,11,20260727,7.471646071288831,7.471646071288831,7.471646071288831,7.47164607128883
2,12,20260728,6.737333756494459,6.594433024459983,6.7373337564944595,6.737333756494459
2,13,20260729,7.867638388529348,7.694875674267148,7.8676383885293495,7.8676383885293495
2,14,20260730,7.330156896008412,7.330156896008409,7.322927771994175,7.330156896008411
2,15,20260731,10.212273772447233,9.783291955737358,10.212273772447235,10.212273772447235
2,16,20260732,7.621881565570827,7.603932293135635,7.621881565570827,7.621881565570828
2,17,20260733,7.076667924865608,6.926518402181525,7.076667924865607,7.076667924865607
2,18,20260734,8.660629416548677,8.34259739935044,8.66062941654868,8.660629416548678
2,19,20260735,6.461408588076105,6.45166624932437,6.416166855663139,6.461408588076105
2,20,20260736,8.170317048143175,7.98963299079366,8.170317048143177,8.170317048143175
2,21,20260737,6.569543066431055,6.5695430664310575,6.5695430664310575,6.569543066431055
2,22,20260738,10.193873282431,10.042139223452367,10.193873282430998,10.193873282430998
2,23,20260739,5.218874476747683,5.218874476747683,5.218874476747683,5.218874476747684
2,24,20260740,7.211194805567017,7.098882385706829,7.185939098599579,7.211194805567017
2,25,20260741,12.07867821713375,12.06302459623934,12.06302459623934,12.078678217133751
2,26,20260742,10.659446574508877,10.005554949420997,10.554652460122753,10.659446574508879
2,27,20260743,7.186897423726198,6.430801277091943,7.1868974237262,7.1868974237262
2,28,20260744,6.998067367421655,6.899624117934912,6.899624117934912,6.998067367421655
2,29,20260745,6.481113521400047,6.481113521400047,6.481113521400047,6.481113521400047
3,0,20260716,12.771614626439463,11.762891696633057,12.449734976699519,12.708412801103362
3,1,20260717,11.252069802985549,10.356204157507339,10.773308387497774,11.220760709742434
3,2,20260718,14.566996690766471,13.680050693786047,14.15769005727645,14.304963947460399
3,3,20260719,8.221834464828394,7.67787231708256,7.806344752419501,8.137043770240359
3,4,20260720,6.402033639128363,5.470752928477396,6.092742730991493,6.2833807934626975
3,5,20260721,9.06951058617715,8.237755521724047,8.526666443822162,9.06951058617715
3,6,20260722,13.742216419812099,13.088012503707398,12.847345449828211,13.606198983417054
3,7,20260723,14.141940765169393,13.510374506500076,13.781209114369576,13.998114714717024
3,8,20260724,8.083914298760117,7.4830864583100976,7.734339771447567,8.05741247347062
3,9,20260725,7.71472783660328,7.20942268031982,7.315857025049561,7.714727836603281
3,10,20260726,12.232959397809195,11.461500739033598,11.871073825670866,12.232959397809196
3,11,20260727,8.872297014555068,8.371059741878044,8.573929916012917,8.751759829650778
3,12,20260728,9.804194509054376,8.769633383394961,9.167574710394685,9.661764956909547
3,13,20260729,10.16019304619551,9.23923795260506,9.633438765592775,10.157870264457651
3,14,20260730,9.505499897872822,8.962359600365517,9.27029185296179,9.436292952020118
3,15,20260731,12.106840542706076,11.447594603899178,11.865827726739843,11.980513640516568
3,16,20260732,9.813641724378602,9.446614256999084,9.362773332750411,9.72881095280315
3,17,20260733,8.946519942865173,8.33017093507015,8.359854861585998,8.913606947302656
3,18,20260734,11.035251196282992,10.367544853752463,10.700420647587569,10.979794009064884
