instance,n,B,G,avg_health,avg_utility,algorithm,value
0,3,2,3,0.44885684863323644,0.30618667944298267,Non-Pooled,0.3494760359987754
0,3,2,3,0.44885684863323644,0.30618667944298267,Static Non-Overlapping,0.3494760359987754
0,3,2,3,0.44885684863323644,0.30618667944298267,Static Overlapping,0.34947603599877536
0,3,2,3,0.44885684863323644,0.30618667944298267,Classical Dynamic Optimal,0.3494760359987754
0,3,2,3,0.44885684863323644,0.30618667944298267,Augmented Greedy Dynamic,0.3131494020990324
0,3,2,3,0.44885684863323644,0.30618667944298267,Augmented Counting Greedy,0.3131494020990324
0,3,2,3,0.44885684863323644,0.30618667944298267,Augmented Dynamic Optimal,0.3494760359987754
0,3,2,3,0.44885684863323644,0.30618667944298267,Upper Bound,0.3681640890371535
1,3,2,3,0.45464125155178464,0.7007664058163289,Non-Pooled,0.8439525380494808
1,3,2,3,0.45464125155178464,0.7007664058163289,Static Non-Overlapping,0.8439525380494808
1,3,2,3,0.45464125155178464,0.7007664058163289,Static Overlapping,0.8439525380494809
1,3,2,3,0.45464125155178464,0.7007664058163289,Classical Dynamic Optimal,0.8439525380494807
1,3,2,3,0.45464125155178464,0.7007664058163289,Augmented Greedy Dynamic,0.7701347194916105
1,3,2,3,0.45464125155178464,0.7007664058163289,Augmented Counting Greedy,0.7701347194916105
1,3,2,3,0.45464125155178464,0.7007664058163289,Augmented Dynamic Optimal,0.8439525380494807
1,3,2,3,0.45464125155178464,0.7007664058163289,Upper Bound,0.8897455744847002
2,3,2,3,0.3981404422019628,0.6491180870015428,Non-Pooled,0.6524360901052978
2,3,2,3,0.3981404422019628,0.6491180870015428,Static Non-Overlapping,0.6524360901052978
2,3,2,3,0.3981404422019628,0.6491180870015428,Static Overlapping,0.6524360901052979
2,3,2,3,0.3981404422019628,0.6491180870015428,Classical Dynamic Optimal,0.6524360901052979
2,3,2,3,0.3981404422019628,0.6491180870015428,Augmented Greedy Dynamic,0.6524360901052979
2,3,2,3,0.3981404422019628,0.6491180870015428,Augmented Counting Greedy,0.6524360901052979
2,3,2,3,0.3981404422019628,0.6491180870015428,Augmented Dynamic Optimal,0.6524360901052979
2,3,2,3,0.3981404422019628,0.6491180870015428,Upper Bound,0.6853278075121657
3,3,2,3,0.5656942624419626,0.5307772374939933,Non-Pooled,0.5494303967658178
3,3,2,3,0.5656942624419626,0.5307772374939933,Static Non-Overlapping,0.6008372485652675
3,3,2,3,0.5656942624419626,0.5307772374939933,Static Overlapping,0.6008372485652674
3,3,2,3,0.5656942624419626,0.5307772374939933,Classical Dynamic Optimal,0.6008372485652674
3,3,2,3,0.5656942624419626,0.5307772374939933,Augmented Greedy Dynamic,0.6008372485652675
3,3,2,3,0.5656942624419626,0.5307772374939933,Augmented Counting Greedy,0.6008372485652675
3,3,2,3,0.5656942624419626,0.5307772374939933,Augmented Dynamic Optimal,0.6261331518892381
3,3,2,3,0.5656942624419626,0.5307772374939933,Upper Bound,0.7389315278254135
4,3,2,3,0.3453467794833262,0.34836035741005933,Non-Pooled,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Static Non-Overlapping,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Static Overlapping,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Classical Dynamic Optimal,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Augmented Greedy Dynamic,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Augmented Counting Greedy,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Augmented Dynamic Optimal,0.2688250439290244
4,3,2,3,0.3453467794833262,0.34836035741005933,Upper Bound,0.3511232481640484
5,3,2,3,0.4730662057656642,0.6356554524277107,Non-Pooled,0.8048688705499389
5,3,2,3,0.4730662057656642,0.6356554524277107,Static Non-Overlapping,0.8048688705499389
5,3,2,3,0.4730662057656642,0.6356554524277107,Static Overlapping,0.8048688705499389
5,3,2,3,0.4730662057656642,0.6356554524277107,Classical Dynamic Optimal,0.8216460961189493
5,3,2,3,0.4730662057656642,0.6356554524277107,Augmented Greedy Dynamic,0.8048688705499389
5,3,2,3,0.4730662057656642,0.6356554524277107,Augmented Counting Greedy,0.8048688705499389
5,3,2,3,0.4730662057656642,0.6356554524277107,Augmented Dynamic Optimal,0.8217219358693163
5,3,2,3,0.4730662057656642,0.6356554524277107,Upper Bound,0.8871650484589019
6,3,2,3,0.7392411675114833,0.3174806100343342,Non-Pooled,0.5466323018455971
6,3,2,3,0.7392411675114833,0.3174806100343342,Static Non-Overlapping,0.6326962494395976
6,3,2,3,0.7392411675114833,0.3174806100343342,Static Overlapping,0.6326962494395975
6,3,2,3,0.7392411675114833,0.3174806100343342,Classical Dynamic Optimal,0.6396788910376737
6,3,2,3,0.7392411675114833,0.3174806100343342,Augmented Greedy Dynamic,0.6420079885205437
6,3,2,3,0.7392411675114833,0.3174806100343342,Augmented Counting Greedy,0.6420079885205437
6,3,2,3,0.7392411675114833,0.3174806100343342,Augmented Dynamic Optimal,0.6491361307935382
6,3,2,3,0.7392411675114833,0.3174806100343342,Upper Bound,0.6980068112178969
7,3,2,3,0.4124358411534487,0.8072438017531999,Non-Pooled,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Static Non-Overlapping,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Static Overlapping,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Classical Dynamic Optimal,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Augmented Greedy Dynamic,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Augmented Counting Greedy,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Augmented Dynamic Optimal,0.8852683585493395
7,3,2,3,0.4124358411534487,0.8072438017531999,Upper Bound,0.9984132917584653
8,3,2,3,0.28938110032565617,0.3520503075345209,Non-Pooled,0.25354310048551
8,3,2,3,0.28938110032565617,0.3520503075345209,Static Non-Overlapping,0.25354310048551
8,3,2,3,0.28938110032565617,0.3520503075345209,Static Overlapping,0.25354310048551004
8,3,2,3,0.28938110032565617,0.3520503075345209,Classical Dynamic Optimal,0.2535431004855101
8,3,2,3,0.28938110032565617,0.3520503075345209,Augmented Greedy Dynamic,0.25354310048551004
8,3,2,3,0.28938110032565617,0.3520503075345209,Augmented Counting Greedy,0.25354310048551
8,3,2,3,0.28938110032565617,0.3520503075345209,Augmented Dynamic Optimal,0.2535431004855101
8,3,2,3,0.28938110032565617,0.3520503075345209,Upper Bound,0.2687895651696423
9,3,2,3,0.22518389330299718,0.613147297725725,Non-Pooled,0.4744095792011891
9,3,2,3,0.22518389330299718,0.613147297725725,Static Non-Overlapping,0.4744095792011891
9,3,2,3,0.22518389330299718,0.613147297725725,Static Overlapping,0.4744095792011891
9,3,2,3,0.22518389330299718,0.613147297725725,Classical Dynamic Optimal,0.4744095792011891
9,3,2,3,0.22518389330299718,0.613147297725725,Augmented Greedy Dynamic,0.47440957920118904
9,3,2,3,0.22518389330299718,0.613147297725725,Augmented Counting Greedy,0.474409579201189
9,3,2,3,0.22518389330299718,0.613147297725725,Augmented Dynamic Optimal,0.4744095792011891
9,3,2,3,0.22518389330299718,0.613147297725725,Upper Bound,0.49466201190393755
10,3,2,3,0.6562287066834415,0.25546805368706904,Non-Pooled,0.38089311257507075
10,3,2,3,0.6562287066834415,0.25546805368706904,Static Non-Overlapping,0.39001585641733594
10,3,2,3,0.6562287066834415,0.25546805368706904,Static Overlapping,0.39001585641733594
10,3,2,3,0.6562287066834415,0.25546805368706904,Classical Dynamic Optimal,0.39001585641733594
10,3,2,3,0.6562287066834415,0.25546805368706904,Augmented Greedy Dynamic,0.39001585641733594
10,3,2,3,0.6562287066834415,0.25546805368706904,Augmented Counting Greedy,0.39001585641733594
10,3,2,3,0.6562287066834415,0.25546805368706904,Augmented Dynamic Optimal,0.39001585641733594
10,3,2,3,0.6562287066834415,0.25546805368706904,Upper Bound,0.42523379932100247
11,3,2,3,0.20918438445131649,0.6289502439800293,Non-Pooled,0.2738671275302865
11,3,2,3,0.20918438445131649,0.6289502439800293,Static Non-Overlapping,0.2738671275302865
11,3,2,3,0.20918438445131649,0.6289502439800293,Static Overlapping,0.2738671275302865
11,3,2,3,0.20918438445131649,0.6289502439800293,Classical Dynamic Optimal,0.27386712753028647
11,3,2,3,0.20918438445131649,0.6289502439800293,Augmented Greedy Dynamic,0.2738671275302865
11,3,2,3,0.20918438445131649,0.6289502439800293,Augmented Counting Greedy,0.2738671275302864
11,3,2,3,0.20918438445131649,0.6289502439800293,Augmented Dynamic Optimal,0.27386712753028647
11,3,2,3,0.20918438445131649,0.6289502439800293,Upper Bound,0.3514483539732146
12,3,2,3,0.7251871955767516,0.381678469681839,Non-Pooled,0.8076866630089439
