policy,lambda_value,value,opt_laminar,ratio
pi_M,,4.900117474800002,6.226133050521764,0.7870242147153218
pi_C,,4.900117474800002,6.226133050521764,0.7870242147153218
pi_R,,4.900117474800002,6.226133050521764,0.7870242147153218
C3,,4.000760776390404,6.226133050521764,0.6425755350755203
pi_L,0.001,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.042816,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.059942,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.083919,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.117487,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.164481,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.230274,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.322384,4.943800304037646,6.226133050521764,0.7940402596477351
pi_L,0.451337,4.943603857438939,6.226133050521764,0.794008707704159
pi_L,0.631872,4.943603857438939,6.226133050521764,0.794008707704159
pi_L,0.884621,4.943603857438939,6.226133050521764,0.794008707704159
pi_L,1.238469,5.794680883064437,6.226133050521764,0.9307030280342034
pi_L,1.733857,5.794680883064437,6.226133050521764,0.9307030280342034
pi_L,2.427399,4.9001174748,6.226133050521764,0.7870242147153215
pi_L,3.398359,4.9001174748,6.226133050521764,0.7870242147153215
