q_sano,n,G,B,u,convencion,clase,optimo,baseline_singletons,ratio_vs_singletons,tamanos_optimos,singleton_optimo,grupo_optimo,preferencia,valor_singleton_primero,valor_mejor_grupo_primero,brecha_grupo_individual
0.05,4,2,2,1,posterior_zero,pathwise,0.14525,0.1,1.4525,2,False,True,solo_grupo,0.1,0.14525,0.04525
0.05,6,2,3,1,posterior_zero,pathwise,0.23620125,0.15,1.574675,2,False,True,solo_grupo,0.19525,0.23620125,0.04095125
0.05,8,2,4,1,posterior_zero,pathwise,0.32756088125,0.2,1.63780440625,2,False,True,solo_grupo,0.28620125,0.32756088125,0.04135963125
0.05,10,2,5,1,posterior_zero,pathwise,0.41888171628125,0.25,1.675526865125,2,False,True,solo_grupo,0.37756088125,0.41888171628125,0.04132083503125
0.05,12,2,6,1,posterior_zero,pathwise,0.51020623695328,0.3,1.700687456511,2,False,True,solo_grupo,0.46888171628125,0.51020623695328,0.04132452067203
0.05,14,2,7,1,posterior_zero,pathwise,0.60153040748944,0.35,1.718658307113,2,False,True,solo_grupo,0.56020623695328,0.60153040748944,0.04132417053616
0.05,16,2,8,1,posterior_zero,pathwise,0.6928546112885,0.4,1.732136528221,2,False,True,solo_grupo,0.65153040748944,0.6928546112885,0.04132420379907
0.1,4,2,2,1,posterior_zero,pathwise,0.282,0.2,1.41,2,False,True,solo_grupo,0.2,0.282,0.082
0.1,6,2,3,1,posterior_zero,pathwise,0.44924,0.3,1.497466666667,2,False,True,solo_grupo,0.382,0.44924,0.06724
0.1,8,2,4,1,posterior_zero,pathwise,0.6191368,0.4,1.547842,2,False,True,solo_grupo,0.54924,0.6191368,0.0698968
0.1,10,2,5,1,posterior_zero,pathwise,0.788555376,0.5,1.577110752,2,False,True,solo_grupo,0.7191368,0.788555376,0.069418576
0.1,12,2,6,1,posterior_zero,pathwise,0.95806003232,0.6,1.596766720533,2,False,True,solo_grupo,0.888555376,0.95806003232,0.06950465632
0.1,14,2,7,1,posterior_zero,pathwise,1.1275491941824,0.7,1.610784563118,2,False,True,solo_grupo,1.05806003232,1.1275491941824,0.0694891618624
0.1,16,2,8,1,posterior_zero,pathwise,1.29704114504717,0.8,1.621301431309,2,False,True,solo_grupo,1.2275491941824,1.29704114504717,0.06949195086477
0.15,4,2,2,1,posterior_zero,pathwise,0.41175,0.3,1.3725,2,False,True,solo_grupo,0.3,0.41175,0.11175
0.15,6,2,3,1,posterior_zero,pathwise,0.64500375,0.45,1.433341666667,2,False,True,solo_grupo,0.56175,0.64500375,0.08325375
0.15,8,2,4,1,posterior_zero,pathwise,0.88552404375,0.6,1.47587340625,2,False,True,solo_grupo,0.79500375,0.88552404375,0.09052029375
0.15,10,2,5,1,posterior_zero,pathwise,1.12419136884375,0.75,1.498921825125,2,False,True,solo_grupo,1.03552404375,1.12419136884375,0.08866732509375
0.15,12,2,6,1,posterior_zero,pathwise,1.36333120094484,0.9,1.514812445494,2,False,True,solo_grupo,1.27419136884375,1.36333120094484,0.08913983210109
0.15,14,2,7,1,posterior_zero,pathwise,1.60235054375906,1.05,1.526048136913,2,False,True,solo_grupo,1.51333120094484,1.60235054375906,0.08901934281422
0.15,16,2,8,1,posterior_zero,pathwise,1.84140061134144,1.2,1.534500509451,2,False,True,solo_grupo,1.75235054375906,1.84140061134144,0.08905006758237
0.2,4,2,2,1,posterior_zero,pathwise,0.536,0.4,1.34,2,False,True,solo_grupo,0.4,0.536,0.136
0.2,6,2,3,1,posterior_zero,pathwise,0.82848,0.6,1.3808,2,False,True,solo_grupo,0.736,0.82848,0.09248
0.2,8,2,4,1,posterior_zero,pathwise,1.1348864,0.8,1.418608,2,False,True,solo_grupo,1.02848,1.1348864,0.1064064
0.2,10,2,5,1,posterior_zero,pathwise,1.436836352,1.0,1.436836352,2,False,True,solo_grupo,1.3348864,1.436836352,0.101949952
0.2,12,2,6,1,posterior_zero,pathwise,1.74021236736,1.2,1.4501769728,2,False,True,solo_grupo,1.636836352,1.74021236736,0.10337601536
